filename,song name,track/album number,album/LP,hollis link,type of media,alt source,Source used,Acquired?
NHS2-1304.wav,Kasi Lasa; Manuk Manuk,,"A visit to Borneo :exotic music of the Dusun, Murut and Bajau tribes",http://id.lib.harvard.edu/alma/990083151710203941/catalog,LP,GJ: http://media.theglobaljukebox.org/audio/T5422R18.mp3,GJ,Y
NHS2-0787.wav,Li-Mein,,An introduction to music of New Guinea :the Australian Trust territory,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212022158720003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,music%20of%20new%20guinea%20wattle&offset=0",LP,LP purchase: https://www.amazon.com/Introduction-Music-NEW-Guinea-Australian/dp/B003JT31XW OR CREM: https://archives.crem-cnrs.fr/archives/items/CNRSMH_E_1969_020_001_11/,CREM,Y
NHS2-0800.wav,Bar-e,,An introduction to music of New Guinea :the Australian Trust territory,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212022158720003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,music%20of%20new%20guinea%20wattle&offset=0",LP,CREM: https://archives.crem-cnrs.fr/archives/items/CNRSMH_E_1969_020_001_12/,CREM,Y
NHS2-0808.wav,Kamelawo-igo,,An introduction to music of New Guinea :the Australian Trust territory,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212022158720003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,music%20of%20new%20guinea%20wattle&offset=0",LP,CREM: https://archives.crem-cnrs.fr/archives/items/CNRSMH_E_1969_020_001_05/,CREM,Y
NHS2-0814.wav,Aroro,,An introduction to music of New Guinea :the Australian Trust territory,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212022158720003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,music%20of%20new%20guinea%20wattle&offset=0",LP,CREM: https://archives.crem-cnrs.fr/archives/items/CNRSMH_E_1969_020_001_04/,CREM,Y
NHS2-0055.wav,Kozi-Kozi,"Side B, Track 10 from original CD",Brésil :musique indienne,http://id.lib.harvard.edu/alma/990083175560203941/catalog,LP,LP purchase? https://www.discogs.com/sell/release/2783911?ev=rb / Global Jukebox: http://media.theglobaljukebox.org/audio/T5403R22.mp3,GJ,Y
NHS2-1216.wav,Pavaria Ka Sohar,A4,Chant the names of God,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA211897751750003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Chant%20the%20Names%20of%20God:%20Village%20Music%20of%20the%20Bhojpuri%20Speaking%20area%20of%20India&offset=0",LP,LP purchase: https://www.discogs.com/sell/release/4751929?ev=rb; also at Holy Cross Libraries (https://library.holycross.edu/search/?searchscope=1&searchtype=o&searcharg=9610294) and Brown University (http://josiah.brown.edu/search~S7/o?SEARCH=ocm09610294). Also at GJ.,GJ,Y
NHS2-1217.wav,Alha,A8,Chant the names of God,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA211897751750003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Chant%20the%20Names%20of%20God:%20Village%20Music%20of%20the%20Bhojpuri%20Speaking%20area%20of%20India&offset=0",LP,LP purchase: https://www.discogs.com/sell/release/4751929?ev=rb; also at Holy Cross Libraries (https://library.holycross.edu/search/?searchscope=1&searchtype=o&searcharg=9610294) and Brown University (http://josiah.brown.edu/search~S7/o?SEARCH=ocm09610294). ALSO at GJ.,GJ,Y
NHS2-1203.wav,Falkvard Langmansson,,Den medeltida balladen = The mediæval ballad,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212062204920003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,The%20Mediaeval%20Ballad&offset=0",LP,"Available on GJ. CD for sale at https://www.discogs.com/sell/release/8430848?ev=rb, but doesn't appear to have this specific track on it?",GJ,Y
NHS2-0426.wav,Graf Und Nonne,,Deutsche Volksballaden,http://id.lib.harvard.edu/alma/990055600430203941/catalog,Tape,Available on GJ. LPs for sale at https://www.discogs.com/sell/release/5093107?ev=rb (this is a tape that Harvard Lib was enthusiastic about digitizing),GJ,Y
