Record title,Type,Offsite?,Lamont?,Box+ LP number,Hollis number,Link,Liner note photo taken
The Child Ballads No.1 & No.2,Record,,Y,Box 32044118607928 LP 4,990081222470203941,http://id.lib.harvard.edu/alma/990081222470203941/catalog,y
Jack of all trades,Record,,Y,Box 32044118607928 LP 3,990081222520203941,http://id.lib.harvard.edu/alma/990081222520203941/catalog,y
Songs of courtship,Record,Y,N,Box 32044118607928 LP 1,990074677680203941,http://id.lib.harvard.edu/alma/990074677680203941/catalog,Y
"The JVC video anthology of world music and dance. Volume 25, Soviet Union III : Azerbaijan, Armenia, Georgia, Dagestan, Russian gypsies",Video,NA,N,NA,NA,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=TN_asp_summonEthnographicVideoOnlineVolume4UnitedStatesASP3953633_marc&context=PC&vid=HVD2&search_scope=everything&tab=everything&lang=en_US,
Ekonda :tribal music of the Congo,Record,Y but digital copy available,N,Box 32044127993970 LP 3527,990078127380203941,http://id.lib.harvard.edu/alma/990078127380203941/catalog,Y
Jivaro,Record,Y,N,Box 32044127994366 LP 8869,990073838090203941,http://id.lib.harvard.edu/alma/990073838090203941/catalog,y
"Music in the Karakorams of central Asia
",Record,Y,N,Box 32044065318149 LP 2227,990083173250203941,http://id.lib.harvard.edu/alma/990083173250203941/catalog,Y
Hungarian folk music,Record,Y,N,Box 32044118607217 LP 611,990083151850203941,http://id.lib.harvard.edu/alma/990083151850203941/catalog,Y
Deutsche Volksballaden,Tape,N,N,SC 4850,990055600430203941,http://id.lib.harvard.edu/alma/990055600430203941/catalog,y
Folk music of Mexico,Record,,Y,Box 32044118607845 LP 123,990081266470203941,http://id.lib.harvard.edu/alma/990081266470203941/catalog,y
Musiques mexicaines,Record,Y,N,Box 32044065318198 LP 2120,990083174510203941,http://id.lib.harvard.edu/alma/990083174510203941/catalog,y
"Folk music from Japan, the Ryukyus, Formosa and Korea",Record,N,N,SC 8919,990074535930203941,"
http://id.lib.harvard.edu/alma/990074535930203941/catalog",y
"The sounds and music of China: from the film by Robert Menego
",Record,Y,N,Box 32044127994697 LP 10683,990083175660203941,http://id.lib.harvard.edu/alma/990083175660203941/catalog,y
Polyphonies et techniques vocales en Ethiopie,Record,Y,N,Box 32044065318214 LP 974,990083175660203941,http://id.lib.harvard.edu/alma/990083175660203941/catalog,y
An introduction to music of New Guinea :the Australian Trust territory,Record,Y,N,Box 32044127993889 LP 3435,990075939370203941,http://id.lib.harvard.edu/alma/990075939370203941/catalog,Y
Music of Morocco,Record,Y,N,Box 32044118607902 LP 162 a-b,990082978610203941,http://id.lib.harvard.edu/alma/990082978610203941/catalog,Y
Moroccan music :the Pan-Islamic tradition,Record,Y,N,Box 32044127993814 LP 2799,990081862690203941,http://id.lib.harvard.edu/alma/990081862690203941/catalog,Y
Folk music of India (Orissa),Record,N,N,AWM: LP 2594 (or offsite: Box 32044127994283 LP 6071),990084695800203941,"
http://id.lib.harvard.edu/alma/990084695800203941/catalog",Y
"Festivals of the Himalayas
",Record,N,N,AWM: LP 2243 (1-2),990081988170203941,http://id.lib.harvard.edu/alma/990081988170203941/catalog,y
