"Note to RAs. This spreadsheet contains a bunch of track information for possible tracks that could be useful. It was Sam and Manvir's first round of promising searches using the Harvard Archive of World Music. You can find a record of each item via the Harvard Library at http://hollis.harvard.edu, doing an advanced search by Hollis #, and pasting the number in Column E.",,,,,,,,,
,,,,,,what tracks are possibly useful here?,,,
subregion,culture,recording title,call #,hollis #,location/comments,lullaby,dance,healing,love
Amazon and Orinoco,Saramaka,Music from Saramaka: A Dynamic Afro-American Tradition,CD 11303,9101075,,,,,9
Amazon and Orinoco,Saramaka,"From slavery to freedom  : music of the Saramaka Maroons, Suriname",LP 2739,8307796,,,"A3,B3",,
Amazon and Orinoco,Tukano,The Indians of Colombia,LP 2843,8307799,,,"B9,11",A1,
Amazon and Orinoco,Tukano,Music of the Tukano and Cuna peoples of Columbia .,LP 3396,7504534,,,"A7,8",,
Amazon and Orinoco,Tukano,The Music of some Indian tribes of Colombia,LP 659 a-c,1549863,,,"MC2- 4b,4c",,
Amazon and Orinoco,Yekuana /MAKIRITARE,Music of the Venezuelan Yekuana Indians [sound recording],CD 11265,8317371,,11,,"6,12**",
Amazon and Orinoco,"Shipobo (Chama),",Indian music of the Upper Amazon,CD 11287,9105342,,12,7,,
Amazon and Orinoco,Javahé (??),Anthology of Brazilian Indian music,CD 11295,9102089,,14,2**,,
Arctic and Subarctic,Ojibwa,Chippewa-Cree circle dance .,LP 6080,8470015,,,all,,
Arctic and Subarctic,Ojibwa,War whoops and medicine songs,LP 623,8315063,,,,,4
Arctic and Subarctic,Ojibwa,Chippewa grass dance songs,LP 633,8315136,,,7,,
Arctic and Subarctic,Ojibwa,"Chippewa, war dance songs for pow-wow.",LP 5693,8308928,,,12,,
Arctic and Subarctic,Ojibwa,Songs of the Chippewa,online,12774060,,,many,,
Arctic and Subarctic,Ojibwa,Ojibway music from Minnesota  : a century of song for voice and drum.,N.A.TECH. Oj 3 1997,7955743,Tozz CD (AWM cassette),,A7,,B4-6
Arctic and Subarctic,Ojibwa,Healing songs of the American Indians,online,13301505,,,,1,
Arctic and Subarctic,Inuit Iglulik,Songs of the Inuit Iglulik,CD 16706,12005283,,"36,37",,"22,23,24,25,26,27",
Australia,multiple,Songs from North Queensland [sound recording] /,LP 2348,8301168,,A4,,,
Australia,multiple,Arnhem land [sound recording] : authentic Australian aboriginal songs and dance,LP 2428,8306315,"missing vols 1, 3",,,,v2:A2
Australia,multiple,Australia [sound recording] : songs of the Aborigines.,LP 2737,8307800,,,"A11-13,B4,6",,
Australia,multiple,Modern music of Torres Strait [sound recording],LP 4178,8301228,,,all of side B,,
Australia,multiple,Songs from the Northern Territory. Vols. 1-5 [sound recording] : an ethnomusicological study,LP 663-667,8315279,NO. MIT has booklet; Sam requested ILL 11/30,,,,
Australia,multiple,Traditional music of Torres Strait [sound recording],LP 670,8315201,,,everything except 2:2,,
Australia,multiple,Tribal music of Australia,online,13302587,,,"1,2,3,5,13",,12XXX
Australia,Noka,Aborigènes d'Australie [electronic resource] : Australian aboriginals,online,12760944,,,several,,
British Isles,"Scots, Western Isles",Gaelic songs of Scotland,CD 17240,9964091,,,,,"1,7,9,17,24,30,37"
British Isles,Hebrides (Highland Scots),Songs and pipes of the Hebrides,online,13302203,,B3,A3,,
Central Africa,Azande,"Forest music  : Congo : northern Belgian Congo, 1952.",CD 11110,8861419,,,13,,
Central Africa,Mbuti (Aka),Anthologie de la musique des Pygmées Aka  = Musical anthology of the Aka Pygmies.,CD 15156,9925925,,15,"A: 1,2,3,4,7,20,21; B: 2,3,4",,
Central Africa,Mbuti,Mbuti Pygmies of the Ituri rainforest,CD 9233,4560865,partial reissue of FW04483,,"3,11,20,21",,
Central Africa,Mbuti,Congo [sound recording] : Mbuti (Pygmy),online LP 821,8316512,,"B10,11",B345,B89,
Central Africa,Rwanda,Rwanda/Urundi [sound recording] : Rwanda.,online LP 877,8316487,,,,,A2
Central America,Kuna,Music of the Indians of Panama  : the Cuna (Tule) and Chocoe (Embera) tribes of Panama,CD 11034,9048357,,"2,3",,,
Central America,Kuna,The Indians of Colombia,LP 2843,8307799,,,,A1XXX,
Central America,Kuna,Music of the Tukano and Cuna peoples of Columbia .,LP 3396,7504534,,B8c,"B5,6","B8a,8b",
Central America,Kuna,The Music of some Indian tribes of Colombia,LP 659 a-c,1549863,See booklet in LP 659; online mess: http://sounds.bl.uk/World-and-traditional-music/Moser-Tayler-Colombia,MC3-2d,"MC3-6a,6b,6c","MC3-2b,2c",
Central America,CHOCOE / EMBERA,Music of the Indians of Panama  : the Cuna (Tule) and Chocoe (Embera) tribes of Panama,CD 11034,1549863,,,,4,10XXX
Central America,GUATUSO,The Vanishing Indians of Costa Rica and Panama sound recording : tribes of the Talamanca Division.,LP 2934,9048357,,,x,,A4XXX
Central Andes,Aymara,Amerindian music of Chile  : the Aymara ; the Qaqashqar ; the Mapuche,CD 11266,9101051,,,"6,7",,
Central Andes,Aymara,Música de Puno y el Lago,L.Soc.42 105.38.20,10120472,Tozzer CD,,"8,12,13,14",,
Central Andes,multiple,Piura [sound recording],CD 11009,9038951,,,"5,7-18",2XXX,
,Otavalo... is this central andes?,http://archives.crem-cnrs.fr/archives/items/CNRSMH_E_1960_004_001_001_11/,,,,,,x,
Central Andes,Quechua,Music from the Aymara and Quechua Andean cultures sound recording.,CD 13471,7597031,,,,,7
Central Andes,Mapuche,Chants traditionnels des indiens Mapuche sound recording.,CD 13632,7770670,,,,,2
Central Andes,Quechua,Mountain music of Peru [sound recording].,CD 9232,4560868,,32,"12,40",,31
East Asia,Korea,Kugak  : Korean traditional music. vol.1 : court music highlights,CD 14081 (v1),8129750,,,,,7XXX
East Asia,Korea,"Hanminjok ch'oech'o ŭi umwŏn, 1896-yŏn, 7-wŏl 24-il  : Minyo = Korean first recording, July 24, 1896 : Minyo, Korean traditional songs.",CD 16506,11575808,,,,,"6,7,8"
East Asia,NORTH KOREA,Lullabies from the Axis of Evil,CD 12296,5432761,,8XXX,,,
East Asia,many,Lullabies and children's songs,CD 13105,7091854,,15,,,
East Asia,Korea,Sŏul chaesu kut kwa chinogwi kut,no call #,13862847,Yenching,,,disc 2; track 7a,
East Asia,Ainu,Ainu Songs,CD 9128,,,,4,,14XXX
East Asia,Japan,Traditional folk songs of Japan,online,13302574,,4th from endXXX,,,
Eastern Africa,Maasai,Tanzania vocals  : Tanganyika : 1950.,CD 11394,9220114,,,20,,
Eastern Africa,Ganda,Uganda and other African nations,CD 12197,7834474,,,,7,
Eastern Africa,Ganda,Musique des Baganda  = Music of the Baganda people.,CD 15008,9925866,,,"2,4,6,8,10,12",,xxx3
Eastern Africa,Ganda,Ouganda  : aux sources du Nil.,CD 9360,5238683,,,10,,
Eastern Africa,Amhara,The music of Ethiopia  : Azmari music of the Amharas.,LP 2852,8307729,,,,,B1
Eastern Africa,Somali,Baijun Ballads: Somali Songs in Swahili,online,13300890,,"B1, B3 XXX",,,
Eastern Africa,nyamwezi,Tanganyika [sound recording] : Nyamwezi.,LP 844,8316520,,,,"A6,A7",
Eastern South America,Bahia Brazilians,"Afro-Brazilian religious music  : Candomblé songs from Salvador,Bahia.",CD 10901,8307847,,,7,,
Eastern South America,Bahia Brazilians,Songs and Dances of Brazil,CD 11275,9105738,,,nearly all,,
Eastern South America,Guaraní,Amérique du Sud,CD 13869,7970449,,46,,,
Eastern South America,Guaraní,"The first expeditions 1901 to Croatia, Brazil, and the isle of Lesbos",CD 14808,8469737,,,,,16XXX
Eastern South America,Guaraní,Paraguay  : Guaraní songs & dances,CD 15395,10293080,,,"3,5,12XXX",,"8,10XXX"
Eastern South America,Bahia Brazilians,Candomblé de Angola  : musique rituelle afro-brésilienne = Afro-Brazilian ritual music,CD 16042,8404111,,,"13,14,15,16,17,18",,
Eastern South America,Bororo,Brazil: Bororo World of Sound,CD 9029,4433133,,,"2,5,",,
Eastern South America,Guaraní,"Les quatre Guaranis  : chant, guitares et harpe indienne.",LP 12263,12096982,,,,,A3
Eastern South America,Bahia Brazilians,Bahia  : traditional music and moments of Brazil,LP 35603,8991427,Loeb collection,,,,A8
Eastern South America,Bahia,Bahiasingulareplural,CD 12665,9755761,,,,"10 ""bencao de cura",
Eastern Woodlands,Iroquois,Seneca social dance music [electronic resource],online,12774029,Lamont media,,all tracks,,
Eastern Woodlands,Iroquois,Songs from the Iroquois longhouse.,LP 110,8125790,,,,A6,
Eastern Woodlands,Iroquois,Canada's story in song,online,13301013,,2,,,
Eastern Woodlands,"Cherokee, Creek",Folk music of the United States,LP 141,8126754,also in Lamont,"A4, B6",,,
Eastern Woodlands,Ponca,Songs of indian territory,AWM SC 4962,,book in Seeger rm: ML 3557 .S65 1989,,,,"1,2,3"
Eastern Woodlands,multiple,Songs and dances of Great Lakes Indians [sound recording],online,13302196,,,"A1,2",A5e,A2fXXX
Maya Area,Tzeltal,Música indígena de Los Altos de Chiapas,CD 12115,9478831,,,12,,
Maya Area,Yucatan,Músicos Mayas,CD 12133,,,,,13,
Maya Area,KEKCHI,The vanishing Indians [sound recording] : Maya and Kekchi of Belize and Guatemala.,LP 2840,7461334,,,,A3,
Maya Area,Nahua,In Xóchitl in cuícatl,CD 11876,,,1,,,2
Maya Area,Nahua,Fiesta en Xalatlaco,CD 11880,,,,"2,3,12",,
Maya Area,Zapotec,Stidxa riunda guendanabani ne guenda guti sti binni zaa,CD 11878,,,,,,"5,6,7,8,11,12,17"
Maya Area,Mexico (Maya?),Lullabies of the world,online,13301707,,1c,,,
Maya Area,multiple,Musiques mexicaines,LP 2120,8317451,on hold at Isham,B4,,,B6?
Melanesia,Trobriands,Betel nuts,CD 12280,9584816,,,1XX,,9XX
Melanesia,Kanak,Nouvelle-Calédonie [sound recording] : chants kanak de Lifou = New Caledonia : Kanak songs from the island of Lifu / Wetr.,CD 10292,8538657,,,3,,7
Melanesia,Bosavi,Bosavi [sound recording] : rainforest music from Papua New Guinea,CD 10382,8634310,,,"III-5XXX,6,7,8,9,10",,
Melanesia,multiple,"Songs & dances from Papua New Guinea [sound recording] : healing, feasting & magical ritual.",CD 10403,8789442,,,,"6a,6b,8,9",
Melanesia,multiple,"Papua New Guinea (1904-1909) [sound recording] : the collections of Rudolf Pöch, Wilhelm Schmidt, and Josef Winthuis.",CD 12363,9604303,,,"CD1:1-7; CD2:1-5,7-9,12,14-18,20-25; CD3:8-12; CD5:1-18",,
Melanesia,Kanak,Chants Kanaks sound recording,CD 9200,4416110,,"15,16a,17a-e,18ab","9,10-13",,
Melanesia,Kaluli,Music of the Kaluli [sound recording].,LP 8641,3335669,,,B3d,,
Melanesia,multiple,Spirit of Melanesia [electronic resource].,online,13147574,Brandeis has a CD copy,20a,"3,5,6",,
Melanesia,Enga,Enga traditional music. [sound recording],LP 2433,8306316,,,,,"A2,3,8"
,Solomon Is.,http://archives.crem-cnrs.fr/search/?location=M%C3%A9lan%C3%A9sie&instrument=&ethnic_group=&title=amour&creator=&collector=&rec_year_from=0&rec_year_to=0&pub_year_from=0&pub_year_to=0,CREM,<< no info!?,,,,,x
Melanesia,multiple,"Traditional music of the Gizra and Bine people [sound recording] : Papua New Guinea, Western province.",LP,8307875,,B7,x,x*,
Micronesia,Chuuk,The Demonstration collection of E.M. von Hornbostel and the Berlin Phonogramm-Archiv,online,13302384,online version has no liner notes,,,,1B10
Micronesia,Chuuk,Spirit of Micronesia [electronic resource].,online,13147575,BU has a CD copy,,25,,
Micronesia,multiple,Spirit of Micronesia [electronic resource].,online,13147575,BU has a CD copy,31,,29XXX,"7,34c"
Middle East,Kurds,Hasht bihisht [sound recording] : guzīdahʹī az mūsīqī-i navāḥī-i Īrān = Hasht Behesht : a selection of Iranianregional music,CD 16202,11469914,,,,CD3:5,
Middle East,Kurds,Chants du Kurdistan,CD 9501,5535642,,,,,7
Middle East,Kurds,Chants et musique kurdes  = Kurdish songs and music.,CD 9806,6063989,,,,,ALL
Middle East,Kurds,Kurdish music.,LP 6015,8489850,,,,,"A1,B2,3,4,7"
Middle East,Kurds,Kurdish folk music from western Iran,online,8317355,,B8,"B4,5",,"A2,A5,B2,B3,B10"
Middle East,Kurds,Kurdish folk songs and dances,online,8317521,,,A7,,"A1,B2,3,4,7"
North Asia,Chukchee,Grand Nord russe  : les Tchouktches = Russian Far North : the Chukchi.,CD 13656,7715860,,22,"1,2",,
North Asia,Chukchee,Traditional folklore of Koryaks and Eskimos .,CD 16416,11586986,,,"23,24,28,29,37",,
North Asia,Chukchee,Traditional folklore of Chukchis and Itelmens .,CD 16419,11721138,,,30,,
North Asia,Yakut,Yakoutie  : épopées et improvisations.,CD 17315,12562113,,,10,,
North Asia,Yakut,Songs & dances from Yakutía .,CD 17759,13078698,,,"1,2,3,6",,
North Asia,Taiga,Chants rituels des nomades de la Taïga,CD 11834,9299779,,"25,26,27,28","8,9,10,11",20XXX,
North Asia,Nivkh and Ujl'ta,Sakhaline sound recording : musique vocale et instrumentale = Sakhalin : vocal and instrumental music,CD 13866,7970499,,"23,31,36",,,
North Asia,Nenec/Jurak,Voix du finisterre arctique sound recording = Voices from the Arctic land's end.,CD 14970,8320928,,"10,",,,12
North Asia,multiple,Russie - Sibérie [electronic resource] : musiques de la Toundra & de la Taïga.,online,13147499,,,17e,17cXXX,
North Asia,multiple,Les esprits écoutent,CD 18825,14095916,CD missing?,,Yakut:CD2:12,CD2:3,
North Asia,Amur Basin,Chants chamaniques et quotdiens du bassin de l'Amour [electronic resource] : shamanistic and daily songs from the Amur basin.,online,12761077,,"1,16,19,26",,8,
Northern Africa,Shluh,"Maroc  : a Marrakech, sur la Djemáa el-Fna.",CD 9579,5620125,,,"3,4,8XXX",,
Northern Africa,Tuareg,"Africa : drum, chant & instrumental music",CD 15056,8301106,,,,B1xx?,
Northern Africa,Tuareg,African music,online,13300787,,6c,,,
Northern Africa,Gourara Sudanese,Sahara music of Gourara = musiques du Gourara.,CD 9623,5486516,,,7,,
Northern Africa,Tuareg,Tuareg music of southern Sahara,online,13302588,,,,,"3,4,5"
