catalogued (audio file is on musiclabnas already),"documentation (liner notes, images, etc, on musiclabnas)",who,HARVARD .WAV,OTHER .WAV,HARVARD CD,OTHER CD,DIRECT STREAM,MULTIPLE SONGS ON SAME TRACK,LP,REQUESTED THRU ILL,ONLY OPTION IS FOR HARVARD TO DIGITIZE IT,CAN'T FIND. ASK HARVARD LIBRARY,ASK HARVARD FOR HELP,GET CD WHEN LOEB REOPENS / WAIT FOR ILL CD OR LP / ASK FOR DIGITIZATION,TO DELETE,status,judy_notes,judy_url (use this only if url_recode is no longer the right url),old_notes,filename,song_name,region,type,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,wideonly,deeponly,both,comments,family_name,language,dialect,level,culture listed?,culture,culture standardized,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
1,1,JSL,0,0,0,0,0,0,1,1,0,0,0,1,0,"request digitization of http://id.lib.harvard.edu/alma/990083174510203941/catalog; if they refuse, then get LP copy from ILL
",Harvard has LP in offsite; Mila has LP from ILL; not on A Street,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",Musiques mexicaines - interlibrary loan,NHS2-0492.wav,Danza de los Santiagos,Central Mexico,Dance,"Disc 1, Track 6",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",LP,,,http://www.worldcat.org/title/musiques-mexicaines/oclc/965998093&referer=brief_results,WorldCat,1,1,0,0,1,IE,#REF!,stan1288,,#REF!,,Veracruz,Mexican,ital1284,#REF!,stan1288,stan1288,yes,yes,yes,spa,No secondary function,No,,,,The song is identified as such in its title or label,Dance Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink gives Music LP where the song can be found.,Yes,6,Yes,"WorldCat does not have the audio, but I found the audio at this link: http://frontera.library.ucla.edu/recordings/love-song",8/28/2018 11:58:07,JAY
1,1,JSL,0,0,0,0,0,0,1,1,0,0,0,1,0,"request digitization of http://id.lib.harvard.edu/alma/990083174510203941/catalog; if they refuse, then get LP copy from ILL
",Harvard has LP in offsite; Mila has LP from ILL; not on A Street,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",Musiques mexicaines - interlibrary loan,NHS2-0465.wav,Healing Chant,Central Mexico,Healing,"Disc 1, Track 2",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",LP,,,http://www.worldcat.org/title/musiques-mexicaines/oclc/965998093&referer=brief_results,WorldCat,1,1,0,0,1,uto,#REF!,huic1243,,#REF!,,Huichol,Huichol,,#REF!,huic1243,huic1243,yes,yes,yes,hch,No secondary function,No,,,,The song is identified as such in its title or label,Healing Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink will lead to the CD where the song can be found as the song is not available as a track online.,,,No,The provided hyperlink gives a list of libraries where the CD with the song can be found.,8/16/2018 15:58:31,JAY
1,1,JSL,0,0,0,0,0,0,1,1,0,0,0,1,0,"request digitization of http://id.lib.harvard.edu/alma/990083174510203941/catalog; if they refuse, then get LP copy from ILL
",Harvard has LP in offsite; Mila has LP from ILL; not on A Street,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",Musiques mexicaines - interlibrary loan,NHS2-0475.wav,Love Song,Central Mexico,Love,"Side B, Track 6",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",LP,,,http://www.worldcat.org/title/musiques-mexicaines/oclc/965998093&referer=brief_results,WorldCat,1,0,1,0,0,,#REF!,juxt1235,,#REF!,,Mixtec,Mixtec,,#REF!,juxt1235,mixt1427,no,yes,yes,vmc,No secondary function,No,,,,The song is identified as such in its title or label,Love Song// TITLE IN WORLDCAT//,NA,NA,Information on the Music LP that has the song can be found in the provided hyperlink.,,,No,The hyperlink provides libraries where the song can be located.,8/28/2018 10:36:16,JAY
1,1,JSL,0,0,0,0,0,0,1,1,0,0,0,1,0,"request digitization of http://id.lib.harvard.edu/alma/990083174510203941/catalog; if they refuse, then get LP copy from ILL
",Harvard has LP in offsite; Mila has LP from ILL; not on A Street,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",Musiques mexicaines - interlibrary loan,NHS2-0470.wav,Music for the peyotl ceremony,Central Mexico,Procession,"Disc 1, Track 8",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212053412040003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,%22Music%20for%20the%20peyotl%20ceremony%22&offset=0",LP,,,http://www.worldcat.org/title/musiques-mexicaines/oclc/965998093&referer=brief_results,WorldCat,0,1,0,1,0,,#REF!,huic1243,,#REF!,,Huichol,Huichol,,#REF!,huic1243,huic1243,yes,yes,yes,hch,No secondary function,No,,,,The song is identified as such in its title or label,Procession Song// TITLE IN WORLDCAT//,NA,NA,The provided link gives you the Music LP where the track can be found.,Yes,6,Yes,WorldCat does not have audio but the following link has: http://frontera.library.ucla.edu/recordings/music-peyotl-ceremony,8/28/2018 12:32:50,JAY
1,1,JSL,0,1,0,0,0,0,1,0,0,0,0,1,0,request digitization of http://id.lib.harvard.edu/alma/990030561210203941/catalog ,at Harvard as LP; requested via ILL as a CD; made a Harvard reading room request,"https://www.discogs.com/Various-The-Music-Of-Samoa/release/10464086
https://www.persee.fr/doc/jso_0300-953x_1974_num_30_45_2674_t1_0313_0000_2",,NHS2-1141.wav,Lullaby,Polynesia,Lullaby,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,,,https://theglobaljukebox.org/?share=Samoa-T5429R43,Global Jukebox,,,0,0,0,no audio yet,#REF!,samo1305,,#REF!,,Samoans,Samoan,,#REF!,samo1305,samo1305,yes,yes,yes,smo,No secondary function,No,,,,The song is identified as such in its title or label,"Lullaby //GLOBAL JUKEBOX, CODING ID 4372 RELEVANT INFORMATION IN THE GENRE SECTION//",NA,NA,"Wheel > choose ""Lullaby""",,,No,,9/3/18 11:33,DIS
0,0,JSL,0,0,0,1,0,0,0,1,0,0,0,1,0,wait for ILL to arrive (many copies available). CD requested ILL 10ov2021 -MB,request sent to ILL (checked in with Lender),https://www.worldcat.org/title/canada-songs-of-the-inuit/oclc/32300954&referer=brief_results,old cd purchase link (https://www.discogs.com/sell/release/1449773?ev=rb) re-sourced to interlibrary loan after pandemic,NHS2-0085.wav,Counting Play Song (I),Arctic and Subarctic,Play,Track 27,Various archives/libraries,http://www.worldcat.org/title/canada-songs-of-the-inuit/oclc/32300954&referer=brief_results,,$25.45,,http://www.worldcat.org/title/canada-songs-of-the-inuit/oclc/32300954&referer=brief_results,WorldCat,1,0,1,0,0,,#REF!,west2618,,#REF!,,Inuit,Inuit,,#REF!,inui1246,inui1246,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,Counting Play Song //TRACKLISTING ON DISCOGS//,NA,NA,See track listing: https://www.discogs.com/Eligah-Mangitak-Qaunnaq-Mikigak-Qabaroak-Qatsiya-Canada-Songs-Of-The-Inuit/release/1449773,,,No,,5/2/18 12:49,CMB
0,1,JSL,0,0,0,0,0,0,1,1,0,0,0,1,0,rip (ILL) LP when loeb reopens [this might require renewing or re-ILL'ing the LP]. 10nov2021: Mila requested access,Mila has LP from ILL; not at Harvard Loeb; not on A Street,https://www.worldcat.org/title/moroccan-music-the-pan-islamic-tradition/oclc/25457764&referer=brief_results,Morocco The Pan Islamic Tradition - interlibrary loan,NHS2-0953.wav,Fatha,Northern Africa,Healing,"Side A, Band 3",Various archives/libraries,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212036210850003941&context=L&vid=HVD2&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=everything&query=any,contains,Moroccan%20music%20:%20the%20Pan-Islamic%20tradition&offset=0",LP,,"No CD for sale or in library, only vinyl",http://www.worldcat.org/oclc/25457764,WorldCat,1,0,1,0,0,,#REF!,jude1265,,#REF!,,Gnawa,Gnawa,,#REF!,.,arab1395,no,.,.,#N/A,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The remaining Band 4 [should be 3] contains Fatha, a prayer, since the Gnawas, in addition to providing entertainment through their music and dance on the streets of towns and villages, possess magical power to cure certain diseases and mental disorders. //ETHNOMUSICOLOGY, VOL 19 NO 1, PAGE 155, RECORD REVIEW http://www.jstor.org.ezp-prod1.hul.harvard.edu/stable/849760//",NA,,,,No,,11/5/18 13:40,MJW
1,1,JSL,0,1,0,0,0,0,1,0,0,0,0,1,0,request digitization of http://id.lib.harvard.edu/alma/990030561210203941/catalog ,at Harvard as LP; requested via ILL as a CD; made a Harvard reading room request,"https://www.discogs.com/Various-The-Music-Of-Samoa/release/10464086
https://www.persee.fr/doc/jso_0300-953x_1974_num_30_45_2674_t1_0313_0000_2","Email owner of collection for tracks.  CMB: Hackable to acquire audio, but permissions not ok; url_orig is not the right audio tag ",NHS2-1139.wav,Incantation,Polynesia,Healing,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,,,https://theglobaljukebox.org/?share=Samoa-T5429R43,Global Jukebox,,,0,0,0,no audio,#REF!,samo1305,,#REF!,,Samoan,Samoan,,#REF!,samo1305,samo1305,yes,yes,yes,smo,No secondary function,No,,,,The song is identified as such in its title or label,"Healing song //GLOBAL JUKEBOX, CODING ID 4373 RELEVANT INFORMATION IN THE GENRE SECTION//",NA,NA,"Wheel -> choose ""Medicinal Chant"" (T5560R19)",,,No,,9/3/18 10:29,DIS
1,1,JSL,0,1,0,0,0,0,1,0,0,0,0,1,0,request digitization of http://id.lib.harvard.edu/alma/990030561210203941/catalog ,at Harvard as LP; requested via ILL as a CD; made a Harvard reading room request,"https://www.discogs.com/Various-The-Music-Of-Samoa/release/10464086
https://www.persee.fr/doc/jso_0300-953x_1974_num_30_45_2674_t1_0313_0000_2","Email owner of collection for tracks. Hackable to acquire audio, but permissions not ok; url_orig is not the right audio tag",NHS2-1149.wav,Song of Praise,Polynesia,Praise,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,,,https://theglobaljukebox.org/?share=Samoa-T5429R43,Global Jukebox,,,0,0,0,no audio,#REF!,samo1305,,#REF!,,Samoans,Samoan,,#REF!,samo1305,samo1305,yes,yes,yes,smo,No secondary function,No,,,,The song is identified as such in its title or label,"Praise song; men's song; responsorial song //GLOBAL JUKEBOX, CODING ID 4376 RELEVANT INFORMATION IN THE GENRE AND DESCRIPTION SECTION//",NA,NA,"wheel>choose ""Men's Praise Song""",,,No,,3/16/2018 17:52:15,DIS
1,1,JSL,0,1,0,0,0,0,1,0,0,0,0,1,0,request digitization of http://id.lib.harvard.edu/alma/990030561210203941/catalog ,at Harvard as LP; requested via ILL as a CD; made a Harvard reading room request,"https://www.discogs.com/Various-The-Music-Of-Samoa/release/10464086
https://www.persee.fr/doc/jso_0300-953x_1974_num_30_45_2674_t1_0313_0000_2","Email owner of collection for tracks.  CMB: Hackable to acquire audio, but permissions not ok; url_orig is not the right audio tag ",NHS2-1138.wav,Lalau Siva,Polynesia,Dance,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,,,https://theglobaljukebox.org/?share=Samoa-T5429R43,Global Jukebox,,,0,0,0,no audio,#REF!,samo1305,,#REF!,,Samoan,Samoan,,#REF!,samo1305,samo1305,yes,yes,yes,smo,No secondary function,No,,,,The song is identified as such in its title or label,"Dance Song //GLOBAL JUKEBOX, CODING ID 4375 RELEVANT INFORMATION IN THE GENRE SECTION//",NA,NA,"Wheel > choose ""Siva""",,,No,,9/3/18 10:35,DIS
