"This sheet contains items that were originally from ItemsOfInterest and were going to be part of the corpus, but turned out to be duplicates, incorrect, weird, confusing, or we couldn't get the items themselves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalogued (audio file is on musiclabnas already),"documentation (liner notes, images, etc, on musiclabnas)",who,HARVARD .WAV,OTHER .WAV,HARVARD CD,OTHER CD,DIRECT STREAM,MULTIPLE SONGS ON SAME TRACK,ERROR (duplicate or misspelling),LP,ONLY OPTION IS FOR HARVARD TO DIGITIZE IT,REQUESTED THRU ILL,,,,,judy_notes,judy_url (use this only if url_recode is no longer the right url),old_notes,filename,song_name,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,wideonly,deeponly,both,comments,type,family_name,language,dialect,level,culture listed?,culture,culture standardized,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
0,0,LGY,0,0,0,0,0,0,1,0,0,,,,,,"The Archive of Māori and Pacific Sound is currently being relocated. We expect this relocation to be complete in early 2021. During this period we do not have access to materials for client supply and our team will not be able to respond to any enquiries until the move is complete.

",check CMB thread. use accession link ,Permission denied,NHS2-0116.wav,Tangata Tagata Film 34,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/78050,,,,http://ampm.auckland.ac.nz/handle/id/78050,Archive of Maori and Pacific Music (U of Auckland),0,1,0,1,0,,Play,#REF!,tuva1244,,#REF!,,Location: Tuvalu,Tuvalu,Australia,,#REF!,tuva1244,tuva1244,yes,yes,yes,tvl,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Nukulaelae // LABEL FROM Archive of maori and Pacific Music (U of Auckland)//,"School children, song, schoolteacher, lagoon fishing, distribution of catch, chief, children eating// LABEL FROM Archive of maori and Pacific Music (U of Auckland)//",NA,,,,No,,12/19/2018 15:20:24,YJW
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,DUPLICATE,CANCEL // DUPLICATE,purchase,NHS2-1213.wav,Viraha (Milkman's Traditional Song),Track 3,CD purchase,https://www.discogs.com/sell/list?master_id=509569&ev=mb&format=CD,,$16.67,,http://gofile.me/3T2hs/GuY5hz8X9,CD-- World Library of Folk and Primitive Music: India,0,1,0,1,0,,Work,#REF!,bhil1251,ahir1242,#REF!,,Ahir (not in eHRAF),Ahir,South Asia,indo1320,#REF!,ahir1242,ahir1242,yes,yes,yes,,Story,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Viraha (Milkman's Traditional Song) //TRACK 3 IN WORLD LIBRARY OF FOLK AND PRIMITIVE MUSIC: INDIA, RELEVANT TEXT IN THE TITLE//","Special style of song developed by the Ahir cowherders ostensibly to communicate with other herders and their distant villages while pasturing their animals. //TRACK 3 IN WORLD LIBRARY OF FOLK AND PRIMITIVE MUSIC: INDIA, RELEVANT TEXT IN THE DESCRIPTION//","""It is said-- The horse named Mangara was born in Maurapura City of the king Aliva. But the Ahir was born in the bazar of Gaura. It is said -- Chanava was born in the great city of Kusumipura"" //TRACK 3 IN WORLD LIBRARY OF FOLK AND PRIMITIVE MUSIC: INDIA, RELEVANT TEXT IN THE DESCRIPTION//",,Yes,6,Yes,,4/10/18 11:52,NLR
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,"DELETE // MUSICAL SCORE, NOT MUSIC",https://uofl-music.on.worldcat.org/search?queryString=no:54492669#/oclc/54492669,looks like score based on American Indian music. Not cd. Can be requested regardless in case cd is included in book. Request interlib loan after covid,NHS2-0453.wav,Lullaby,"Disc 1, Track 7",Various archives/libraries,"https://grawemeyer-music.library.louisville.edu/works?query=Zupko,%20Ramon",,,,https://uofl-music.on.worldcat.org/search?queryString=no:54492669#/oclc/54492669,WorldCat,0,1,0,1,0,uto,Lullaby,#REF!,hopi1249,,#REF!,,Hopi,Hopi,Central Mexico,,#REF!,hopi1249,hopi1249,yes,yes,yes,hop,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby Song// TITLE IN WORLDCAT//,NA,NA,The hyperlink provided leads to the CD where the song can be found because there is no link to the song. The CD itself is for 'Library Use Only'.,,,No,Here is the link to the track listing of the CD where the song is: http://www.worldcat.org/title/where-the-mountain-crosses-for-mezzo-soprano-and-piano-1982/oclc/54492669&referer=brief_results,8/16/2018 15:41:51,JAY
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,"DELETE // MUSICAL SCORE, NOT MUSIC",https://www.worldcat.org/search?q=millan+Folksongs+of+Mexico+%3D+Canciones+de+Mexico&qt=owc_search,"looks like score, not cd. Can be requested regardless in case cd is included in book. Request interlib loan after covid",NHS2-0502.wav,La Sandunga (A song for our mothers),"Disc 1, Track 3",Various archives/libraries,https://www.worldcat.org/title/folksongs-of-mexico-canciones-de-mexico/oclc/42236366&referer=brief_results,,,Available at Boston Public Library,http://www.worldcat.org/title/folksongs-of-mexico-canciones-de-mexico/oclc/42236366&referer=brief_results,WorldCat,,,0,0,0,no sound,Praise,#REF!,tepe1278,,#REF!,,Tehuantepec,Mexican,Central Mexico,,#REF!,stan1288,.,no,.,.,spa,No secondary function,No,,,,The song is identified as such in its title or label,Praise song// TITLE IN WORLDCAT//,NA,NA,"The provided hyperlink leads to the collection that has the song, and it lists the libraries that have this collection.",,,No,,8/16/2018 17:57:35,JAY
0,0,JSL,1,0,0,0,0,0,1,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,Repeat,NHS2-1245.wav,"Asthapadi, Bengali love poem by KP Sivaraman Pooduval",NA,British Library,,,,repeat of song listed below,https://sounds.bl.uk/World-and-traditional-music/Music-from-India/025M-RKDATX0066XX-0100V0,British Library,1,0,1,0,0,,Love,#REF!,mala1464,,#REF!,,Kerala,Kerala,South Asia,,#REF!,mala1464,sans1269,no,no,no,mal,Religious story,No,,,,The song is identified as such in its title or label,"Asthapadi, Bengali love poem //CODING ID RKDATX0066XX-01 RK DAT 66 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//",NA,NA,METADATA: https://sounds.bl.uk/Item/ViewXmlFile/025M-RKDATX0066XX-0100V0,Yes,5,Yes,,8/8/18 0:37,NLR
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,NO VOCALS; DELETE,DELETE,"Instrumental, no singing. Harvard not included in the list for ""this item is accessible for UK Higher Education and Further Education institutions only"". BC is on there, as well as several other unis...maybe a collaborator or friend can help us?",NHS2-1269.wav,Traditional Pashto dance,NA,British Library,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0019XX-0100V0,,,,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0019XX-0100V0,British Library,0,1,0,1,0,,Dance,#REF!,sout2642,,#REF!,,Baluchi,Baloch,South Asia,indo1320,#REF!,indo1320,sira1271,no,no,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Traditional Pashto dance //CODING ID C140/19 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//",NA,NA,,,,No,,8/22/2018 15:44:58,NLR
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,NO VOCALS; DELETE,DELETE,"Instrumental, no singing. Harvard not included in the list for ""this item is accessible for UK Higher Education and Further Education institutions only"". BC is on there, as well as several other unis...maybe a collaborator or friend can help us?",NHS2-1270.wav,Bugero (love song),NA,British Library,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0017XX-0200V0,,,,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0017XX-0200V0,British Library,0,1,0,1,0,,Love,#REF!,sout2642,,#REF!,,Baluchi,Baloch,South Asia,indo1320,#REF!,indo1320,sira1271,no,no,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Bugero (love song) //CODING ID C140/17 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//",NA,NA,,,,No,,8/22/2018 15:27:51,NLR
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,NO VOCALS; DELETE,DELETE,"Instrumental, no singing. Harvard not included in the list for ""this item is accessible for UK Higher Education and Further Education institutions only"". BC is on there, as well as several other unis...maybe a collaborator or friend can help us?",NHS2-1273.wav,Laylati,NA,British Library,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0003XX-0100V0,,,,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0003XX-0100V0,British Library,0,1,0,1,0,,Work,#REF!,sout2642,,#REF!,,Baluchi,Baluchi,South Asia,indo1320,#REF!,indo1320,sira1271,no,no,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Laylati //CODING ID C140/3 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//","Traditional tunes of Balochi goat herders //CODING ID C140/3 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE DESCRIPTION//",NA,,,,No,,8/22/2018 15:31:18,NLR
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,modern rendition; DELETE,https://www.amazon.com/At-Corner-Sky-Initiate-Huichol/dp/B072JHTRY5,"can't find reasonably priced CD, all online resources elsewhere. BUT this CD looks like it's a classical performance, and probably should not have been included",NHS2-0471.wav,At The Corner of The Sky: Song of an Initiate (Huichol) -- Fervently (00:02:56),NA,CD purchase,https://www.amazon.com/Other-Voices-Vocal-Works-Wilson/dp/B004KRPG08/ref=sr_1_fkmr0_1?keywords=other+voices%3A+blank%2C+smit%2C+wilson&qid=1576169342&s=dmusic&sr=8-1-fkmr0,,$16.98,Cost includes $3.99 for shipping,http://www.worldcat.org/title/other-voices/oclc/1018457081&referer=brief_results,WorldCat,0,1,0,1,0,,Procession,#REF!,huic1243,,#REF!,,Huichol,Huichol,Central Mexico,,#REF!,huic1243,huic1243,yes,yes,yes,hch,The type of event that the procession is associated with is an initiation,No,,,,The song is identified as such in its title or label,Procession Song// TITLE IN WORLDCAT//,NA,NA,,,,No,,8/28/2018 13:22:22,JAY
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,modern rendition; DELETE,DELETE,"Looks like it's orchestral. Tracked down CD 7479 from another song (""Passo pel prat""), but can not confirm that this CD has a song called ""Lullaby"" on it. Closest is ""pour l'enfant"". Compare with gofileme song.",NHS2-1708.wav,Lullaby,12,CD purchase,https://www.amazon.com/Canteloube-Songs-Auvergne-Chants-DAuvergne/dp/B00000DSED/ref=sr_1_14?keywords=Canteloube%3A+Chants+d%27Auvergne&qid=1579631371&s=music&sr=1-14,,$15.40,,http://gofile.me/3T2hs/bRdqoJdZF,"WorldCat, McGill Music library",0,1,0,1,0,,Lullaby,#REF!,stan1290,,#REF!,,Auvergne,French,Western Europe,ital1284,#REF!,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is",Lullaby //CD 7479 MCGILL MUSIC LIBRARY; INFO IN LINER NOTES//,NA,"""sleep, come to the child [...] sleep come now. Here it is. Here it comes, and the child is falling asleep . . . ah!""",,Yes,6,Yes,,6/9/18 12:21,KVL
