There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
song,type,region,culture,glottocode,,,,,,,,classify_issue,glottolog_url,song_name,song_tracknum,song_reason,song_label,song_info,,length,annotator,cataloguer
NHS2-0006,Dance,Amazon and Orinoco,Canela Kraho,cane1242,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,a more specific one krah1246,https://glottolog.org/resource/languoid/id/cane1242,"Krahó: Women-and-Men's choir, conducted by traditional choir-leader","Disc 1, Track 3","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Krahó: Women-and-Men's choir, conducted by traditional choir-leader//SMITHSONIAN FOLKWAYS CATALOG NUMBER FW04311 / FE 4311//","Kraho-Indians - About fourhundred and fifty Kraho Indians live in four villages in the wide and open savannah of northeastern Brazil, a few hundred miles from the shores of the Tocantins river, an amazonian tributary. The Kraho belong to the Je-speaking Indians of Brazil, who are by far the most musical and music-loving of all Brazilian Indians. Every morning before sunri.se, one of the beloved and famed choir-conductors starts a dance in middle of the village square, singing with the rhythm of a gourd-rattle. Immediately all younger girls, women and men gather. Women stand in a long row before him, shake the arms rhythmically, whipping their knees in the same rhythm, while men dance in front of them. Songs start slow, heavily, becomes more and more enthusiastic until a powerful choir fills the village at the rising sun. Every afternoon the same happens, after daily work, and every night girls, women and men sing and dance on the village square until dark and late. When everybody is home, resting on their straw-mats spread on the ground or on wooden racks, suddenly a beautiful, sonor voice fills the night - one of the solo-singers of the village performs his recital, some of them with such highly trained voices, that they resemble the educated trembling of coloratur-singers in our society. The Kraho's life is filled with multiple rituals, initiation-rites which change from year to year, being some of them only repeated after twelve up to sixteen years. Each rite is accompanied by special songs, but also the already mentioned morning-and night choir-songs consist of a great number of songs, composed by living choir-leaders or consisting of the traditional repertoire of the tribe. Kraho-life cannot be separated from music! //SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04311 / FE 4311; LINER NOTES (DOWNLOADED PDF, PP. 4-5)//",1,,HLR,LGY
NHS2-0018,Dance,Amazon and Orinoco,Kamayura,kama1373,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kama1373,Women's Dance Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Dance song; women's song //GLOBAL JUKEBOX CODING ID: 2997//,Description: Clip of strophic dance song //GLOBAL JUKEBOX CODING ID: 2997//,1,,HLR,CMB
NHS2-0021,Dance,Amazon and Orinoco,Karaja,kara1500,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kara1500,"Javahé: Sacred-mask-dance, songs, 'Aruana,' Two masks dancing","Disc 1, Track 2","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Javahé: Sacred-mask-dance, songs, 'Aruana,' Two masks dancing//SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04311 / FE 4311//","Karaja-Indians - About eighthundred Karaja-Indians still live on the shores of the Bananal-Island, Araguaia- River, in Central Brazil. They have been in peaceful contact with our Civilisation since more than a century, but maintain, in spite of, a high level of their old traditions. During the dry season, from May to October, they erect summer-villages of light straw houses on the immense beaches of white, soft and hot sand, performing every afternoon and night their sacred fertility rites, with colorful masks of feather heads and straw skirts. During thesedances they sing old songs of their ancestors, but also new compositions appear from time to time and are traded from one village to another. These'Aruana' masks are stored in special sacred maskhouses far from the row of village houses and are hidden from women. Young men live in these mask houses until they get married. Bachel,prs, who are too lazy to work for their own family live for many years in these mask-houses. Every day, in the late afternoon and during part of the night, pairs of masks start their way from the mask-house to the village, singing and marking rhythm with gourd rattles, they dance close to two waiting women, who then follow them one or two hundred yards through the sand, towards the mask-house but suddenly return to the other women, running, who sit in groups not far from their houses. Javahe-Indians - There are no significant differences between the Karaja and the Javahe, who belong culturally and linguistically to the same group. But the Karaja live on the shores of the Bananal-Island and the Araguaia-River, and the Javahe live inside the huge river-island, being considered the hicks or backwooders. They have less contact with our civilisation and therefore offer in some way better opportunities for the scientist to study certain aspects of their ancient life-style, which maintains less changed than that of the Karaja. About music, the same said for the Karaja is to be repeated for the Javahe, some songs, which are similar in style, are not known by one or the other of both Indian groups, others are common to both of them.//SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04311 / FE 4311; LINER NOTES (DOWNLOADED PDF)//",1,,HLR,LGY
NHS2-0023,Dance,Amazon and Orinoco,Kayapo,kaya1330,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kaya1330,Bo Mask Chant,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Mask dance; chant //GLOBAL JUKEBOX CODING ID: 1937//,Description: Dancers in masks modeled on Caraja Aruana masks singing a falsetto chant also adapted from the Caraja //GLOBAL JUKEBOX CODING ID: 1937//,1,,HLR,CMB
NHS2-0027,Dance,Amazon and Orinoco,Kuikuro,kuik1246,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kuik1246,Anduvé,Track 1 on original CD,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Mask dance; dance song //GLOBAL JUKEBOX CODING ID: 146//,"Description: Kuikuru Indians masked dance //GLOBAL JUKEBOX CODING ID: 146, ADDITIONAL ETHNOGRAPHIC INFORMATION (IN FRENCH) AT CREM CNRSMH_E_1957_011_001 (http://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1957_011_001/)//",1,,HLR,LGY
NHS2-0033,Dance,Amazon and Orinoco,Saramaka,sara1340,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sara1340,Alesingo,"Side 1, Track 3",,2,2,1,,SDA,LGY
NHS2-0042,Dance,Amazon and Orinoco,Tucano,tuca1252,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tuca1252,War Dance,NA,The song is identified as such in its title or label,War Dance //GLOBAL JUKEBOX CODING ID: 3859//,Genre: War dance song Description: Text about singer's desire to take a young girl from the maloca into the jungle to live with her: a common reason for tribal warfare //GLOBAL UKEBOX CODING ID: 3859//,1,,HLR,CMB
NHS2-0043,Dance,Amazon and Orinoco,Tucano,tuca1252,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tuca1252,Gawetabasa,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,Genre: Dance song; animal song; circle dance Description: The Dance of the Eagle; slow circular dance within the maloca //GLOBAL JUKEBOX CODING ID: 3860//,1,,HLR,CMB
NHS2-0045,Dance,Amazon and Orinoco,Warao,wara1303,Yes,SON,Yes,Yes,Not problematic,Maybe problematic,Not problematic,Venezuela is in Northwestern South America,https://glottolog.org/resource/languoid/id/wara1303,Jue Monuka,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Dance song; animal song //GLOBAL JUKEBOX CODING ID: 3270//,"Description: In the likeness of a manta ray; dancing on the beach on any occasion, dancers imitate the movement of the river ray //GLOBAL JUKEBOX CODING ID: 3270//",1,,HLR,CMB
