included in sample,include_comment,type,family_name,language,dialect,level,culture listed?,culture,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,notes,iso,song_name,url,song_tracknum,source,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
0,no audible,Dance,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Arkushaga,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 23,Garland Encyclopedia of World Music,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Dance melody //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 11, DESCRIPTION OF SONG 23//",NA,Alexander St. lists voice as an instrument but no voice can be heard on recording,No,0,Yes,,6/8/18 16:25,AZX
1,,Dance,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Arkuashaga,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 8,Garland Encyclopedia of World Music,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Dance song //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 10//",NA,,Yes,6,Yes,,6/8/18 15:33,AZX
0,no audible,Dance,Abkhaz-Adyge,kaba1278,,language,1,Kabardian not found of eHARF,Central Asia,,abkh1242,kaba1278,kaba1278,yes,yes,yes,,kbd,Lezgihinka,http://gofile.me/3T2hs/MpnkuHTfp,Track 4,Harvard Archive of World Music HOLLIS,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lezgihinka //HOLLIS NUMBER 990090350310203941 IN HARVARD ARCHIVE OF WORLD MUSIC HOLLIS RELEVANT TEXT IS IN THE LINEAR NOTES PG. 12//,"Much of the music recorded can be divided into two types; male choirs (tracks 1,3 & 5), and instrumental dance music (tracks 2 &4). //HOLLIS NUMBER 990090350310203941 IN HARVARD ARCHIVE OF WORLD MUSIC HOLLIS RELEVANT TEXT IS IN THE LINEAR NOTES PG. 4//",NA,"File Path Synology: /NHS2/submissions/Central Asia/Before the revolution/4 Audio Track.aiff, https://d16klsh1z1xre7-cloudfront-net.ezp-prod1.hul.harvard.edu/dorp/liner/0/cc14/787d/1000089961-liner.pdf",No,1,Yes,,8/19/2018 19:12:57,BSG
0,no audible,Dance,Abkhaz-Adyge,kaba1278,,language,1,Kabardian not found of eHARF,Central Asia,,abkh1242,kaba1278,kaba1278,yes,yes,yes,,kbd,Lezgihinka,http://gofile.me/3T2hs/MpnkuHTfp,Track 4,Harvard Archive of World Music HOLLIS,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lezgihinka //HOLLIS NUMBER 990090350310203941 IN HARVARD ARCHIVE OF WORLD MUSIC HOLLIS RELEVANT TEXT IS IN THE LINEAR NOTES PG. 12//,"Much of the music recorded can be divided into two types; male choirs (tracks 1,3 & 5), and instrumental dance music (tracks 2 &4). //HOLLIS NUMBER 990090350310203941 IN HARVARD ARCHIVE OF WORLD MUSIC HOLLIS RELEVANT TEXT IS IN THE LINEAR NOTES PG. 4//",NA,"File Path Synology: /NHS2/submissions/Central Asia/Before the revolution/4 Audio Track.aiff, https://d16klsh1z1xre7-cloudfront-net.ezp-prod1.hul.harvard.edu/dorp/liner/0/cc14/787d/1000089961-liner.pdf",No,1,Yes,,8/19/2018 19:16:46,BSG
0,no audible,Dance,Abkhaz-Adyge,kaba1278,,language,,"three different culture groups are represented in the choir who sings the song being Kamancha, chechen, tar",Central Asia,,abkh1242,kaba1278,.,no,.,.,,kbd,Lezghinka,http://gofile.me/3T2hs/u9J7qpZTJ,Track 2,"Smithsonian Folkways, Before the Revolution",No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lezghinka //HOLLIS NUMBER 990090350310203941 IN HARVARD ARCHIVE OF WORLD MUSIC HOLLIS RELEVANT TEXT IS IN THE LINEAR NOTES PG. 12//,"Much of the music recorded can be divided into two types; male choirs (tracks 1,3 & 5), and instrumental dance music (tracks 2 &4). //HOLLIS NUMBER 990090350310203941 IN HARVARD ARCHIVE OF WORLD MUSIC HOLLIS RELEVANT TEXT IS IN THE LINEAR NOTES PG. 4//",NA,"File Path on Synology: /NHS2/submissions/Central Asia/Before the revolution/2 Audio Track.aiff, https://d16klsh1z1xre7-cloudfront-net.ezp-prod1.hul.harvard.edu/dorp/liner/0/cc14/787d/1000089961-liner.pdf",No,1,Yes,,8/19/2018 18:34:37,BSG
1,,Mourning,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Azar,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 7,Garland Encyclopedia of World Music,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Funeral lament in memory of a fallen hero //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 10//",NA,,Yes,6,Yes,,6/8/18 15:30,AZX
1,,Mourning,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Lament,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 11,Garland Encyclopedia of World Music,Procession - funeral,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The keening over the deceased varies in form and melody. It is either loud calls by women of moan singing by men. Sometimes there is musically organized group-keening performed by men, before the funeral starts [11]. //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 6//",NA,,Yes,6,Yes,,6/8/18 15:48,AZX
1,,Praise,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Hadzhi Kyaranthyku,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 2,Garland Encyclopedia of World Music,Story,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Heroic song about Hadzhi Kyaranthyku //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 9//",NA,,Yes,6,Yes,,6/8/18 15:18,AZX
1,,Praise,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Chantari Guagua,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 3,Garland Encyclopedia of World Music,Story,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Heroic epic song about Chantari Guagua //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 9//",NA,,Yes,6,Yes,,6/8/18 15:22,AZX
1,,Praise,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Ozbak,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 17,Garland Encyclopedia of World Music,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"In ""Ozbak"" [17] the only words that come out clearly are: 'Ozbak is our hero', although every singer knows the legend behind the song. Ozbak, according to this legend, managed to overcome grief after his son had been killed. He did not take revenge on those who killed his son, because he believed that his son was to blame. The heroism of the father is in his high sense of justice. The song ends with a dance to praise the hero for his high moral. //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 7//",NA,,Yes,5,Yes,,6/8/18 16:05,AZX
