notes,filename,song_name,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,comments,type,family_name,language,dialect,level,culture listed?,culture,culture standardized,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
Permission denied,NHS2-0116.wav,Tangata Tagata Film 34,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/78050,,,,http://ampm.auckland.ac.nz/handle/id/78050,Archive of Maori and Pacific Music (U of Auckland),0,1,,Play,Austronesian,tuva1244,,language,,Location: Tuvalu,Tuvalu,Australia,,aust1307,tuva1244,tuva1244,yes,yes,yes,tvl,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Nukulaelae // LABEL FROM Archive of maori and Pacific Music (U of Auckland)//,"School children, song, schoolteacher, lagoon fishing, distribution of catch, chief, children eating// LABEL FROM Archive of maori and Pacific Music (U of Auckland)//",NA,,,,No,,12/19/2018 15:20:24,YJW
Permission denied,NHS2-1093.wav,Aloha Parade,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/75872,,,,http://ampm.auckland.ac.nz/handle/id/75872,Archive of Māori and Pacific Music,0,1,,Procession,Austronesian,hawa1245,,language,,Hawaiians,Hawaiian,Polynesia,,aust1307,hawa1245,hawa1245,yes,yes,yes,haw,No secondary function,No,,,,The song is identified as such in its title or label,Aloha Parade //AMPM ACCESSION NUMBER C85/065.06//,NA,NA,,,,No,,########,DIS
Permission denied,NHS2-1094.wav,March of the Beachcombers,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/75878,,,,http://ampm.auckland.ac.nz/handle/id/75878,Archive of Māori and Pacific Music,0,1,,Procession,Austronesian,hawa1245,,language,,Hawaiians,Hawaiian,Polynesia,,aust1307,hawa1245,hawa1245,yes,yes,yes,haw,No secondary function,No,,,,The song is identified as such in its title or label,March of the Beachcombers //AMPM ACCESSION NUMBER C85/065.11//,NA,NA,,,,No,,########,DIS
spoken,NHS2-1118.wav,Akateni,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/86796,,,,http://ampm.auckland.ac.nz/handle/id/86796,Archive of Māori and Pacific Music,0,1,,Story,Austronesian,maor1246,,language,,Cook Islanders,Cook Islander,Polynesia,,aust1307,.,maor1246,no,.,.,#N/A,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The following is a variant of the story of Koroki-Te-Matangi and Koroki-Te-Vananga who, according to the version published by Low, Marouna encountered at sea on his way back to Aitutaki from Mangaia //AMPM ACCESSION NUMBER 83/135.06c//",NA,,,,No,,4/16/2018 9:53:28,DIS
spoken,NHS2-1119.wav,Tateni,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/86797,,,,http://ampm.auckland.ac.nz/handle/id/86797,Archive of Māori and Pacific Music,1,1,austro,Story,Austronesian,maor1246,,language,,Cook Islanders,Cook Islander,Polynesia,,aust1307,.,maor1246,no,.,.,#N/A,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,Song relating to the story of Koroki-Te-Matangi and Koroki-Te-Vananga //AMPM ACCESSION NUMBER 83/135.06d//,NA,,,,No,,4/16/2018 9:54:46,DIS
"Only commentary, song audio is missing",NHS2-1122.wav,Log-hauling chant,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/73042,,,,http://ampm.auckland.ac.nz/handle/id/73042,Archive of Māori and Pacific Music,0,1,,Work,Austronesian,maor1246,,language,,Maori,Maori,Polynesia,,aust1307,maor1246,maor1246,yes,yes,yes,mri,No secondary function,No,,,,The song is identified as such in its title or label,Log-hauling chant //AMPM ACCESSION NUMBER 91/133.04a//,NA,NA,,,,No,,########,DIS
all spoken,NHS2-1178.wav,talanoa,NA,Archive of Māori and Pacific Music,http://ampm.auckland.ac.nz/handle/id/58006,,,,http://ampm.auckland.ac.nz/handle/id/58006,Archive of Māori and Pacific Music,0,1,,Story,Austronesian,tong1325,,language,,Tongans,Tongan,Polynesia,,aust1307,tong1325,tong1326,no,yes,yes,ton,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,Has spoken song text. Local story //AMPM ACCESSION NUMBER 74/034.06//,NA,continued here http://ampm.auckland.ac.nz/handle/id/58007,,,No,,4/16/2018 9:26:01,DIS
Repeat,NHS2-1245.wav,"Asthapadi, Bengali love poem by KP Sivaraman Pooduval",NA,British Library,,,,repeat of song listed below,https://sounds.bl.uk/World-and-traditional-music/Music-from-India/025M-RKDATX0066XX-0100V0,British Library,1,0,,Love,Dravidian,mala1464,,language,,Kerala,Kerala,South Asia,,drav1251,mala1464,sans1269,no,no,no,mal,Religious story,No,,,,The song is identified as such in its title or label,"Asthapadi, Bengali love poem //CODING ID RKDATX0066XX-01 RK DAT 66 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//",NA,NA,METADATA: https://sounds.bl.uk/Item/ViewXmlFile/025M-RKDATX0066XX-0100V0,Yes,5,Yes,,########,NLR
"Instrumental, no singing. Harvard not included in the list for ""this item is accessible for UK Higher Education and Further Education institutions only"". BC is on there, as well as several other unis...maybe a collaborator or friend can help us?",NHS2-1269.wav,Traditional Pashto dance,NA,British Library,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0019XX-0100V0,,,,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0019XX-0100V0,British Library,0,1,,Dance,Indo-European,sout2642,,language,,Baluchi,Baloch,South Asia,indo1320,indo1319,indo1320,sira1271,no,no,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Traditional Pashto dance //CODING ID C140/19 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//",NA,NA,,,,No,,8/22/2018 15:44:58,NLR
"Instrumental, no singing. Harvard not included in the list for ""this item is accessible for UK Higher Education and Further Education institutions only"". BC is on there, as well as several other unis...maybe a collaborator or friend can help us?",NHS2-1270.wav,Bugero (love song),NA,British Library,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0017XX-0200V0,,,,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0017XX-0200V0,British Library,0,1,,Love,Indo-European,sout2642,,language,,Baluchi,Baloch,South Asia,indo1320,indo1319,indo1320,sira1271,no,no,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Bugero (love song) //CODING ID C140/17 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//",NA,NA,,,,No,,8/22/2018 15:27:51,NLR
