Filename,Song name,Track no,Source,Link,Format,Location,Acquired?,,
NHS2-0020.wav,Penas ao Vento (Música das crianças) -- Rane Rane Neonte,Track 11,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212129386240003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=lsr02,contains,294847126",CD,Loeb,n,Archive of World Music  CD 16667,
NHS2-0243.wav,Song and dance from the Adzhar region,"Tape 25, 25-10",Alexander Street,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=TN_asp_summonEthnographicVideoOnlineVolume4UnitedStatesASP3953633_marc&context=PC&vid=HVD2&search_scope=everything&tab=everything&lang=en_US,Video Tape,Lamont,n,,
NHS2-0244.wav,Ossetian ethnic dance,"Tape 25, 25-12",Alexander Street,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=TN_asp_summonEthnographicVideoOnlineVolume4UnitedStatesASP3953633_marc&context=PC&vid=HVD2&search_scope=everything&tab=everything&lang=en_US,Video Tape,Lamont,n,,
NHS2-0010.wav,Rituel chamanique thérapeutique kalina (Guyane),Track 11,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212091336350003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Chamanes%20Et%20Possedes",CD,Loeb,n,Archive of World Music  CD 11853,
NHS2-0133.wav,The Fairy Lullaby,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040001210003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,ireland%20alan%20lomax&offset=0",cd,Loeb,n,Archive of World Music  CD 13757,
NHS2-0134.wav,Keen for a Dead Child,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040001210003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,ireland%20alan%20lomax&offset=0",cd,Loeb,n,Archive of World Music  CD 13757,
NHS2-0135.wav,The Cruel Mother,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212043780710003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,The%20Child%20Ballads&offset=0",LP,Lamont,n,DISC F666 52 F66sb v.4,
NHS2-0136.wav,Innsin Bhéil Átha'n Ghaorthaidh,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040001210003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,ireland%20alan%20lomax&offset=0",cd,Loeb,n,Archive of World Music  CD 13757,
NHS2-0160.wav,The Bonny Wee Lassie Who Never Said No,"The Folksongs of Britain, Volume II: Songs of Seduction. Caedmon Records. TC-1143, 1961",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212054376830003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,songs%20of%20seduction",cd,Loeb,n,Archive of World Music  CD 14883,
NHS2-0161.wav,As I Walked Through Dublin City,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212054376830003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,songs%20of%20seduction",cd,Loeb,n,Archive of World Music  CD 14883,
NHS2-0162.wav,The Nuttting Girl,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212054376830003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,songs%20of%20seduction",cd,Loeb,n,Archive of World Music  CD 14883,
NHS2-0167.wav,The Threshing Machine,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212054376830003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,songs%20of%20seduction",cd,Loeb,n,Archive of World Music  CD 14883,
NHS2-0169.wav,Blow the Candle Out,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212054376830003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,songs%20of%20seduction",cd,Loeb,n,Archive of World Music  CD 14883,
NHS2-0242.wav,Tamaris Perchuli,Track 1,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212077610600003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,makruli&offset=0",cd,Loeb,n,Archive of World Music  CD 10710,
NHS2-0254.wav,Okros Ninosi,Track 34,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,Loeb,n,Archive of World Music  CD 17235,
NHS2-0255.wav,Makruli,Track 3,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212077610600003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,makruli&offset=0",cd,loeb,n,Archive of World Music  CD 10710,
NHS2-0545.wav,Game Song (The Eagle Catching The Chick),NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA211931827070003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Taiwan:%20Music%20of%20Aboriginal%20Tribe&offset=0",cd,loeb,n,Archive of World Music  CD 9287,"if cd is incorrect, interlib loan: https://www.worldcat.org/title/music-of-the-aborigines-on-taiwan-island/oclc/42989720&referer=brief_results"
