Filename,Song name,Track no,Source,Link,Format,Ready to digitize?,Track acquired?,
NHS2-0455.wav,Sones mazatecos,NA,Various archives/libraries,https://www.worldcat.org/title/nuevo-dia/oclc/699817049&referer=brief_results,CD,n,n,"very obscure cd, will probably have to re-source"
NHS2-0096.wav,Djanba,8,Various archives/libraries,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212051164150003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Songs%20from%20the%20Kimberleys",LP; CD in AIATSIS and in other libs,n,n,
NHS2-0109.wav,Guluwada Songs,4,Various archives/libraries,https://www.worldcat.org/title/songs-from-the-kimberleys-aboriginal-music-from-the-kimberley-region-of-western-australia/oclc/767510325&referer=brief_results,LP; CD in AIATSIS and in other libs,n,n,
NHS2-0110.wav,Waggin's Nurlu,3,Various archives/libraries,https://www.worldcat.org/title/songs-from-the-kimberleys-aboriginal-music-from-the-kimberley-region-of-western-australia/oclc/767510325&referer=brief_results,LP; CD in AIATSIS and in other libs,n,n,
NHS2-0126.wav,Totem Dance,7,Various archives/libraries,https://www.worldcat.org/title/songs-from-the-kimberleys-aboriginal-music-from-the-kimberley-region-of-western-australia/oclc/767510325&referer=brief_results,LP; CD in AIATSIS and in other libs,n,n,
NHS2-0128.wav,Balganya,5,Various archives/libraries,https://www.worldcat.org/title/songs-from-the-kimberleys-aboriginal-music-from-the-kimberley-region-of-western-australia/oclc/767510325&referer=brief_results,LP; CD in AIATSIS and in other libs,n,n,
NHS2-0453.wav,Lullaby,"Disc 1, Track 7",Various archives/libraries,"https://grawemeyer-music.library.louisville.edu/works?query=Zupko,%20Ramon",looks like score based on American Indian music. Not cd. Can be requested regardless in case cd is included in book,n,n,
NHS2-0502.wav,La Sandunga (A song for our mothers),"Disc 1, Track 3",Various archives/libraries,https://www.worldcat.org/title/folksongs-of-mexico-canciones-de-mexico/oclc/42236366&referer=brief_results,"looks like score, not cd. Can be requested regardless in case cd is included in book",n,n,
NHS2-0085.wav,Counting Play Song (I),Track 27,Various archives/libraries,https://www.worldcat.org/title/canada-songs-of-the-inuit/oclc/32300954&referer=brief_results,CD,n,n,
NHS2-0115.wav,Maranoa Lullaby,NA,CD purchase,https://www.worldcat.org/title/from-melba-to-sutherland-australian-singers-on-record/oclc/961942539&referer=brief_results,CD,n,n,
