Filename,Song name,Track no,Source,Link,Format,Next step,location,TOS,Ready to grab now? (if TOS is ok),Acquired?
NHS2-0455.wav,Sones mazatecos,NA,Various archives/libraries,https://www.worldcat.org/title/nuevo-dia/oclc/699817049&referer=brief_results,CD,Request interlibrary loan,uni libs,-,n,n
NHS2-1075.wav,Sitting Bull's Medicine Song (a),"No. 91, Catalogue No. 654",Various archives/libraries,https://catalog.loc.gov/vwebv/holdingsInfo?searchId=17129&recCount=25&recPointer=1&bibId=16528916,Sound cylinder,"Read TOS, request materials",LOC,"https://www.loc.gov/legal/understanding-copyright/#fair_use CONTACT INFO: ""Duplication of sound recordings may be governed by copyright and other restrictions. Collection is open for research; access to recordings may be restricted. To request materials, please contact the Folklife Reading Room at http://hdl.loc.gov/loc.afc/folklife.contact"" ",n,n
NHS2-1076.wav,Lullaby,"No. 217 in book, Catalogue No. 679",Various archives/libraries,https://catalog.loc.gov/vwebv/holdingsInfo?searchId=17129&recCount=25&recPointer=1&bibId=16528916,Sound cylinder,"Read TOS, request materials",LOC,"https://www.loc.gov/legal/understanding-copyright/#fair_use CONTACT INFO: ""Duplication of sound recordings may be governed by copyright and other restrictions. Collection is open for research; access to recordings may be restricted. To request materials, please contact the Folklife Reading Room at http://hdl.loc.gov/loc.afc/folklife.contact"" ",n,n
NHS2-1077.wav,Song of Little Girls' Play (b),"No. 216 in book, Catalogue No. 681",Various archives/libraries,https://catalog.loc.gov/vwebv/holdingsInfo?searchId=17129&recCount=25&recPointer=1&bibId=16528916,Sound cylinder,"Read TOS, request materials",LOC,"https://www.loc.gov/legal/understanding-copyright/#fair_use CONTACT INFO: ""Duplication of sound recordings may be governed by copyright and other restrictions. Collection is open for research; access to recordings may be restricted. To request materials, please contact the Folklife Reading Room at http://hdl.loc.gov/loc.afc/folklife.contact"" ",n,n
NHS2-1080.wav,Mad Chief Mourns for his Grandson,"Cat 1096, No. 86",Various archives/libraries,https://catalog.loc.gov/vwebv/search?searchCode=LCCN&searchArg=2011655378&searchType=1&permalink=y,Sound cylinder,"Read TOS, request materials",LOC,"https://www.loc.gov/legal/understanding-copyright/#fair_use CONTACT INFO: ""Duplication of sound recordings may be governed by copyright and other restrictions. Collection is open for research; access to recordings may be restricted. To request materials, please contact the Folklife Reading Room at http://hdl.loc.gov/loc.afc/folklife.contact"" ",n,n
NHS2-0016.wav,Curing chants - prayers - Ricardo,1,Various archives/libraries,https://ailla.utexas.org/islandora/object/ailla:152848,-,"read TOS, download tracks",AILLA,https://ailla.utexas.org/site/rights/use_conditions,y,y
NHS2-0020.wav,Penas ao Vento (Música das crianças) -- Rane Rane Neonte,Track 11,Various archives/libraries,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212129386240003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=lsr02,contains,294847126",CD,Get from Loeb,Harvard,-,y,n
NHS2-0028.wav,NHS2-0028.wav,NA,Various archives/libraries,https://ailla.utexas.org/islandora/object/ailla%3A125393,-,"Read TOS, download tracks",AILLA,https://ailla.utexas.org/site/rights/use_conditions,y,y
NHS2-0040.wav,Gongote,NA,Various archives/libraries,https://memory.loc.gov/diglib/ihas/loc.afc.afc9999005.25709/default.html,sound recording,"Read TOS, request materials",LOC,https://www.loc.gov/legal/understanding-copyright/#fair_use,n,n
NHS2-0052.wav,"8: Stories, myths, and songs",1,Various archives/libraries,https://ailla.utexas.org/islandora/object/ailla%3A124939,-,"Read TOS, download tracks",AILLA,https://ailla.utexas.org/site/rights/use_conditions,y,y
