song,type,region,glottocode
NHS2-SZHN,Mourning,Amazon and Orinoco,gali1262
NHS2-YYR4,Mourning,Amazon and Orinoco,boro1282
NHS2-DYV5,Work,Amazon and Orinoco,boro1282
NHS2-LFHL,Healing,Amazon and Orinoco,gali1262
NHS2-INOD,Mourning,Amazon and Orinoco,gali1262
NHS2-CQFQ,Lullaby,Amazon and Orinoco,juru1256
NHS2-8NOH,Story,Amazon and Orinoco,kama1373
NHS2-6SKT,Play,Amazon and Orinoco,kana1291
NHS2-IZWB,Dance,Amazon and Orinoco,kara1500
NHS2-AOIU,Lullaby,Amazon and Orinoco,kara1500
NHS2-3OQR,Praise,Amazon and Orinoco,kaya1330
NHS2-TL0L,Procession,Amazon and Orinoco,kaya1330
NHS2-5U0S,Dance,Amazon and Orinoco,kuik1246
NHS2-RKZ9,Work,Amazon and Orinoco,maku1246
NHS2-1S3V,Healing,Amazon and Orinoco,maqu1238
NHS2-42SL,Healing,Amazon and Orinoco,pume1238
NHS2-4ZIM,Dance,Amazon and Orinoco,sara1340
NHS2-S7PH,Story,Amazon and Orinoco,sara1340
NHS2-XNFH,Story,Amazon and Orinoco,sara1340
NHS2-1EIA,Story,Amazon and Orinoco,sara1340
NHS2-KZ4O,Work,Amazon and Orinoco,sara1340
NHS2-XDF4,Love,Amazon and Orinoco,wara1303
NHS2-UXKZ,Lullaby,Amazon and Orinoco,wara1303
NHS2-UWXD,Love,Amazon and Orinoco,waya1269
NHS2-OP3Q,Story,Amazon and Orinoco,yano1262
NHS2-O9JH,Work,Amazon and Orinoco,macu1259
NHS2-O8KV,Dance,Amazon and Orinoco,yawa1261
NHS2-K74G,Healing,Amazon and Orinoco,yawa1261
NHS2-A0SS,Story,Amazon and Orinoco,yawa1261
NHS2-O8Q2,Praise,Arctic and Subarctic,cent2127
NHS2-U13X,Love,Arctic and Subarctic,chip1241
NHS2-OAN3,Dance,Arctic and Subarctic,east2534
NHS2-HDX7,Lullaby,Arctic and Subarctic,east2534
NHS2-WBOH,Lullaby,Arctic and Subarctic,east2534
NHS2-DAQN,Play,Arctic and Subarctic,east2534
NHS2-V02B,Play,Arctic and Subarctic,east2534
NHS2-404H,Dance,Arctic and Subarctic,nort2943
NHS2-JNHY,Story,Arctic and Subarctic,nort2943
NHS2-M7UO,Healing,Arctic and Subarctic,nort2961
NHS2-9ZG2,Dance,Arctic and Subarctic,ojib1241
NHS2-ZW00,Dance,Arctic and Subarctic,west2618
NHS2-VXQK,Story,Arctic and Subarctic,west2618
NHS2-K5DQ,Dance,Arctic and Subarctic,east2534
NHS2-XOBH,Healing,Arctic and Subarctic,east2534
NHS2-WX18,Story,Arctic and Subarctic,east2534
NHS2-IPI1,Lullaby,Arctic and Subarctic,gree1280
NHS2-8OCR,Mourning,Arctic and Subarctic,gree1280
NHS2-L9T3,Play,Arctic and Subarctic,gree1280
NHS2-FOJU,Story,Arctic and Subarctic,gree1280
NHS2-1BVB,Mourning,Australia,djap1238
NHS2-3EPZ,Dance,Australia,yuul1239
NHS2-TLF3,Dance,Australia,yuul1239
NHS2-A55H,Love,Australia,dhuw1249
NHS2-41ON,Dance,Australia,miri1266
NHS2-R2MC,Story,Australia,gugu1254
NHS2-BLMM,Story,Australia,gunw1252
NHS2-6CQJ,Love,Australia,iwai1244
NHS2-GJ4X,Lullaby,Australia,kabi1260
NHS2-7NEZ,Lullaby,Australia,lard1243
NHS2-HUX8,Praise,Australia,meri1244
NHS2-R2YS,Work,Australia,meri1244
NHS2-0TA2,Love,Australia,wala1272
NHS2-O4JO,Dance,Australia,bard1255
NHS2-G6Z0,Praise,Australia,pitj1243
NHS2-D455,Dance,Australia,pitj1243
NHS2-EIPU,Praise,Australia,pitj1243
NHS2-7TO4,Dance,Australia,wadj1254
NHS2-FBJU,Procession,Australia,warl1254
NHS2-QFKF,Story,Australia,worr1236
NHS2-BATN,Love,Australia,worr1236
NHS2-EOE6,Dance,Australia,worr1237
NHS2-A7EF,Mourning,Australia,wika1238
NHS2-E2BN,Dance,Australia,woro1258
NHS2-DJGN,Story,Australia,wuna1249
NHS2-5D0K,Story,Australia,wuna1249
NHS2-KIWV,Dance,Australia,yuul1239
NHS2-LY5K,Story,British Isles,ulst1241
NHS2-9AU4,Story,British Isles,ulst1241
NHS2-64UT,Work,British Isles,ulst1241
NHS2-ELN7,Dance,British Isles,scot1245
NHS2-719E,Love,British Isles,scot1245
NHS2-L24F,Lullaby,British Isles,scot1245
NHS2-TMH3,Praise,British Isles,scot1245
NHS2-YY9J,Love,British Isles,stan1293
NHS2-JEDY,Love,British Isles,stan1293
NHS2-PUMI,Lullaby,British Isles,scot1245
NHS2-JYMK,Mourning,British Isles,stan1293
NHS2-J3ZC,Play,British Isles,stan1293
NHS2-F1L8,Play,British Isles,stan1293
NHS2-UE7S,Play,British Isles,lowe1445
NHS2-1PUD,Play,British Isles,stan1293
NHS2-JD8G,Procession,British Isles,stan1293
NHS2-ACA2,Story,British Isles,iris1255
NHS2-LEIP,Story,British Isles,iris1255
NHS2-VBI9,Story,British Isles,stan1293
NHS2-5IBT,Story,British Isles,stan1293
NHS2-3LQ4,Dance,Caribbean,anti1245
NHS2-1JW6,Dance,Caribbean,anti1245
NHS2-ERLW,Lullaby,Caribbean,anti1245
