"song","glottocode","type","region","family_id","family_name","latitude","longitude","ex_simple_lowenergy_mean","ex_simple_brightness_mean","ex_simple_roughness_mean","ex_simple_centroid_mean","ex_spectral_centroid_mean","ex_spectral_brightness_mean","ex_spectral_spread_mean","ex_spectral_skewness_mean","ex_spectral_kurtosis_mean","ex_spectral_rolloff95_mean","ex_spectral_rolloff85_mean","ex_spectral_spectenropy_mean","ex_spectral_flatness_mean","ex_spectral_roughness_mean","ex_spectral_irregularity_mean","ex_tonal_keyclarity_mean","ex_tonal_mode_mean","ex_rhythm_tempo_mean","ex_rhythm_attack_time_mean","ex_rhythm_attack_slope_mean","ex_dynamics_rms_mean","ex_spectral_centroid_std","ex_spectral_brightness_std","ex_spectral_spread_std","ex_spectral_skewness_std","ex_spectral_kurtosis_std","ex_spectral_rolloff95_std","ex_spectral_rolloff85_std","ex_spectral_spectenropy_std","ex_spectral_flatness_std","ex_spectral_roughness_std","ex_spectral_irregularity_std","ex_tonal_keyclarity_std","ex_tonal_mode_std","ex_rhythm_tempo_std","ex_rhythm_attack_time_std","ex_rhythm_attack_slope_std","ex_dynamics_rms_std"
"NHS2-02B5","wole1240","Story","Micronesia","aust1307","Austronesian",7.37957,143.916,0.122712228301368,-0.286566046888727,0.155969835965158,-0.280352577902581,-0.454920440297856,-0.448702855170086,0.109435410963167,-0.275065379626534,-0.479567878239415,0.538379599756689,-0.331458901648719,-0.354393935676726,-0.372815807688435,-0.0878060332119733,-0.911610279216494,-0.735586739452686,0.959011276330268,-0.0582125231814681,-0.177493220690464,-0.743927598971153,0.315318579742379,0.215816975019689,0.751168092606903,-0.241231760278267,0.330085182610874,-0.00296701042442872,0.299665130661893,0.191094224729083,0.712391045718777,-0.152441646693781,-0.547417043444234,-1.89490228352879,-0.118899329786222,-1.4043862343772,1.29046854504114,-0.502653297583272,-0.369614680415758,-0.693044085841879
"NHS2-0459","cent2126","Work","East Asia","japo1237","Japonic",26.14854,127.7816,-1.07383477268141,-0.269368912913522,-0.332413012932281,-0.33843844825034,-0.489904618274071,-0.766113788070436,-0.211855607179374,0.0980197851806592,-0.110248938678428,-0.119485480060194,-0.564766716564356,-0.686371266203364,-0.260210173422305,-0.26105867593832,0.273960944306752,-0.190317621642032,-1.33849392411763,-1.26178015017215,-1.18125335626625,0.699435964968068,1.14511636840229,-0.519937743822005,0.708851307470444,-0.403978214569517,0.154919610602411,-0.118506487266411,-0.174276303208717,-0.201590620671163,-0.177948193386689,-0.501384323054576,-0.317133408684916,-0.0821497382568027,-0.0424551750237926,-0.824213769754902,1.42712794893571,-0.418372755277958,0.152463964159704,-1.6538009577495
"NHS2-06FQ","russ1263","Dance","Eastern Europe","indo1319","Indo-European",59,50,-0.158828242518109,0.353349569696521,0.0500096246123469,-0.232974423771388,-0.103212446542243,0.437479217424456,-0.142173285441309,-0.0851350344564351,-0.294331807362702,0.15308790192001,-0.417103542567117,0.229294306425019,-0.035062114318728,0.222375486213954,0.618363664666582,1.45744108897574,0.196442127840386,0.204226576436414,-0.177493220690464,-0.122731711346387,0.612381726056917,-1.17280134045241,-0.855918820551189,-0.935861851763863,-1.05440074535313,-0.661420635521129,-0.622234339791935,-1.01830770170944,-1.22556265680946,-0.793181939255244,-0.124069852564074,-0.522841634766573,-0.123615009986023,2.00109870265701,0.702984463342471,-0.227706768959548,-0.818097827594384,-0.992371126356359
"NHS2-06LY","wuzl1236","Work","Central Africa","afro1255","Afro-Asiatic",10.955,14.1378,-0.0532505659608079,-1.15454794141835,-0.199335470526181,-0.893728679731484,-0.856920960217336,-0.933041165045482,-0.998780825708085,1.0393874813363,1.00400185369692,-1.00483661551469,-0.824653902799496,-0.334117665585643,-0.718841241045725,0.0960838291009966,1.11920833648596,-0.168997821041855,-0.239247268328771,0.169168349100459,-0.512079932549069,-0.00374648730110518,0.607183473229527,-0.954752919254812,-1.2160160413696,-0.540286784106667,0.597025019506222,1.044876269676,-0.432971296827936,-0.967043418817424,-0.46287441959034,-0.774132672798387,-0.225834000696266,-0.439039980300138,1.03021812207539,0.468005690240475,0.551716908711885,-0.700575444266517,-0.00437533343747469,-1.1362451040312
"NHS2-085Q","sout2996","Procession","Southern South America","ayma1253","Aymaran",-17.1417,-70.3442,-0.229213360222984,0.84914631436341,0.286853870997281,0.63006370786052,0.4955543365368,0.894112303644491,-0.119418879422825,-1.07132511018184,-0.822335129533543,0.0649626731594925,0.681510471972339,0.835741235447824,-0.128711442404495,0.127938034619251,0.788869496007337,-0.576408273643714,0.0681238719327485,-1.50876071835177,-0.51207993254906,-0.390942036336785,0.776333728390869,-0.400762247503669,-0.732601691904698,-1.43103879015873,-1.0983679300904,-0.903901701423297,-1.22170948493146,-0.895175805466216,-0.713248233297237,-0.946422760999861,-0.166561874048951,-0.311199908173936,-0.324929153233781,-0.0163512546201733,0.433401157804634,-0.506127935416012,0.209458050514667,-1.2214981720498
"NHS2-0878","cent2194","Praise","Northern Africa","afro1255","Afro-Asiatic",32.7415,-2.40872,0.932141081907375,0.380797654481912,-0.368406653247723,-0.35158098953706,-0.388473648254132,0.211513231524543,-0.380648018967048,0.481825302321404,0.157216350047869,-0.627742613376665,-0.736055998401153,-0.0121289532286736,-0.39098102999916,0.343048159185111,1.37457191692519,-1.59326804787263,-0.782805146176895,-0.890427806222854,-0.512079932549066,0.0588688520745524,0.156939111395078,-1.04920563521125,-0.66867736565427,-0.632895977398974,-0.794293092978073,-0.237178591654569,0.179114340039201,-0.98421655393607,-1.33822502966383,-0.840971067434105,0.238080042253327,-0.616800485233687,-1.54332727422293,-0.6661335577277,0.75567181217111,-0.406223598802529,1.23436681014844,-0.900231510558303
"NHS2-08KZ","duma1253","Work","Central Africa","atla1278","Atlantic-Congo",-0.91927,13.0046,0.509830375678158,-0.0782116057231512,-0.422222215927243,-0.184561535320481,-0.00256422564393934,0.147386317721452,-0.188486286256094,-0.146364883102048,-0.176062665243905,-0.32852672037584,0.108577356863053,-0.0275339998376925,-0.121090341535251,-0.490301217798051,0.656161332999867,-1.11965521872504,-0.666819243299483,0.703687686589841,-0.177493220690464,-0.388403465560533,-0.827220912085199,-0.345668446116269,-0.391330335120264,0.219307817317882,-0.592561950207518,-0.371331171805334,0.442043946392429,-0.162406098859512,0.525815020699473,-0.0451001869584199,-0.0424707544279316,1.84855310261527,0.018632512204757,-0.782047146915045,0.482168010919717,0.26603563695292,-0.423771784731823,0.981727524682565
"NHS2-0BSK","magu1243","Love","Southeast Asia","aust1307","Austronesian",6.9453,124.509,-0.933064537271675,0.903582037264907,0.294227994168914,0.323206588280015,0.588432045966242,1.05818999991611,-0.175786109718997,0.123511188042077,-0.0384989555891683,-0.357218655321124,0.0731381951037152,0.296635279727024,0.108607235048491,-0.298024002910559,1.24518947150414,0.0838532803438281,1.28825708535727,0.950650471520316,-0.512079932549069,-0.237615625069442,0.847929319344007,-0.696187094704444,0.295757444449117,0.909559481343539,-0.68176210068888,-0.499834662557578,0.945568556734254,-0.127920088968127,-0.0973397933616303,0.425594344708734,-0.527427610264947,0.758538068327985,-0.0756628648204496,0.106207152404626,0.243513884756898,-0.517509518672524,-0.373482050570426,0.225503653772027
"NHS2-0CKA","port1283","Work","Southern Europe","indo1319","Indo-European",39.91,-8.1,-1.60172315546794,-0.926958400724218,-0.390754168794237,-0.536996218758852,-0.261290037480453,-0.633956413443984,-0.262005622354481,0.460315002900194,0.291352466017046,-0.92695850637749,-0.0981510867330816,-0.811697488177218,-0.333451970327243,-0.417000228490646,0.524620437738823,0.783678887127886,-0.713686464628431,-0.933854163767598,-0.177493220690481,-0.0982950672356408,0.877531704464409,0.544960105909227,-0.387132379240218,2.07669749216631,0.743771613588152,0.202155283759965,1.86790964488872,1.18914738250979,1.00031046125815,1.92682904161843,-0.479984733791497,0.59993031394149,1.08755479628927,0.0171760127321945,0.362680934205429,-0.151236567763326,-0.775000696546936,-0.0242058115960448
"NHS2-0CO2","pure1242","Love","Central Mexico","tara1323","Tarascan",19.2467,-101.631,0.369060140268407,-0.144103847077104,-0.244481470652451,-0.386894020603086,-0.652459750201666,-0.569584086640836,-0.473668137495101,0.606801179341546,0.360986496793601,-0.853179245089616,-0.499794920005571,-0.260480540091054,-0.580146273677256,0.211123692438365,0.13643688218524,1.77608193826272,-0.239869829407931,1.17074578687833,0.157093491168158,-0.370077652418715,-0.0123522145832314,-0.436672870974926,0.873542150905159,0.237094394565337,0.0134573359582437,0.056602818867115,0.252719541928759,-0.291991455621223,-0.0596332803638425,-0.706202206477502,0.683107963627017,-0.349882118368002,-2.11716679678814,1.12090399027183,1.3505273637734,-0.59616993256752,-0.390266038145707,-0.0309170811235826
"NHS2-0DNB","toho1245","Dance","Southwest and Basin","utoa1244","Uto-Aztecan",31.7973,-111.995,-0.897871978419238,-0.3134386435271,2.15809856933126,-0.391626956053665,-0.336190386392064,-0.201337743590055,-0.393564642588681,0.374078305737087,0.10800284679284,-0.664632244020602,-0.476168812166013,0.145232944788077,-0.34753705368698,0.182743762619041,-0.455959725922174,0.652829089858504,1.10448453226231,-0.0454911563292406,-1.18125335626626,0.672117069217501,0.812659747745687,-0.27016954212241,-0.259286463441579,0.596261354284981,0.555522933936154,0.366061232580282,1.02607837301999,0.107180278205537,-0.280073206048994,-0.140578185999382,0.0242188025444319,-0.184239586446816,0.251985299090627,0.597741371039584,-1.19927210815205,-0.763918125897091,-0.384162654671563,-0.407469572694093
