new_ids,song,type,region,glottocode
NHS2-SZHN,NHS2-0002,Mourning,Amazon and Orinoco,gali1262
NHS2-YYR4,NHS2-0004,Mourning,Amazon and Orinoco,boro1282
NHS2-DYV5,NHS2-0005,Work,Amazon and Orinoco,boro1282
NHS2-YJW0,NHS2-0006,Dance,Eastern South America,krah1246
NHS2-LFHL,NHS2-0010,Healing,Amazon and Orinoco,gali1262
NHS2-INOD,NHS2-0011,Mourning,Amazon and Orinoco,gali1262
NHS2-765L,NHS2-0016,Healing,Northwestern South America,guan1269
NHS2-CQFQ,NHS2-0017,Lullaby,Amazon and Orinoco,juru1256
NHS2-8NOH,NHS2-0019,Story,Amazon and Orinoco,kama1373
NHS2-6SKT,NHS2-0020,Play,Amazon and Orinoco,kana1291
NHS2-IZWB,NHS2-0021,Dance,Amazon and Orinoco,kara1500
NHS2-AOIU,NHS2-0022,Lullaby,Amazon and Orinoco,kara1500
NHS2-3OQR,NHS2-0025,Praise,Amazon and Orinoco,kaya1330
NHS2-TL0L,NHS2-0026,Procession,Amazon and Orinoco,kaya1330
NHS2-5U0S,NHS2-0027,Dance,Amazon and Orinoco,kuik1246
NHS2-RKZ9,NHS2-0028,Work,Amazon and Orinoco,maku1246
NHS2-1S3V,NHS2-0029,Healing,Amazon and Orinoco,maqu1238
NHS2-V7CJ,NHS2-0031,Story,Eastern South America,xakr1238
NHS2-42SL,NHS2-0032,Healing,Amazon and Orinoco,pume1238
NHS2-4ZIM,NHS2-0033,Dance,Amazon and Orinoco,sara1340
NHS2-S7PH,NHS2-0034,Story,Amazon and Orinoco,sara1340
NHS2-XNFH,NHS2-0035,Story,Amazon and Orinoco,sara1340
NHS2-1EIA,NHS2-0036,Story,Amazon and Orinoco,sara1340
NHS2-KZ4O,NHS2-0037,Work,Amazon and Orinoco,sara1340
NHS2-XDF4,NHS2-0047,Love,Amazon and Orinoco,wara1303
NHS2-UXKZ,NHS2-0049,Lullaby,Amazon and Orinoco,wara1303
NHS2-UWXD,NHS2-0050,Love,Amazon and Orinoco,waya1269
NHS2-OP3Q,NHS2-0052,Story,Amazon and Orinoco,yano1262
NHS2-O9JH,NHS2-0053,Work,Amazon and Orinoco,macu1259
NHS2-O8KV,NHS2-0055,Dance,Amazon and Orinoco,yawa1261
NHS2-K74G,NHS2-0056,Healing,Amazon and Orinoco,yawa1261
NHS2-A0SS,NHS2-0057,Story,Amazon and Orinoco,yawa1261
NHS2-O8Q2,NHS2-0060,Praise,Arctic and Subarctic,cent2127
NHS2-U13X,NHS2-0061,Love,Arctic and Subarctic,chip1241
NHS2-OAN3,NHS2-0063,Dance,Arctic and Subarctic,east2534
NHS2-HDX7,NHS2-0066,Lullaby,Arctic and Subarctic,east2534
NHS2-WBOH,NHS2-0067,Lullaby,Arctic and Subarctic,east2534
NHS2-DAQN,NHS2-0068,Play,Arctic and Subarctic,east2534
NHS2-V02B,NHS2-0069,Play,Arctic and Subarctic,east2534
NHS2-404H,NHS2-0078,Dance,Arctic and Subarctic,nort2943
NHS2-JNHY,NHS2-0079,Story,Arctic and Subarctic,nort2943
NHS2-M7UO,NHS2-0080,Healing,Arctic and Subarctic,nort2961
NHS2-9ZG2,NHS2-0081,Dance,Arctic and Subarctic,ojib1241
NHS2-ZW00,NHS2-0084,Dance,Arctic and Subarctic,west2618
NHS2-VXQK,NHS2-0086,Story,Arctic and Subarctic,west2618
NHS2-1BVB,NHS2-0087,Mourning,Australia,djap1238
NHS2-3EPZ,NHS2-0090,Dance,Australia,yuul1239
NHS2-TLF3,NHS2-0092,Dance,Australia,yuul1239
NHS2-A55H,NHS2-0093,Love,Australia,dhuw1249
NHS2-UDIY,NHS2-0095,Play,Polynesia,fiji1243
NHS2-41ON,NHS2-0096,Dance,Australia,miri1266
NHS2-R2MC,NHS2-0097,Story,Australia,gugu1254
NHS2-BLMM,NHS2-0100,Story,Australia,gunw1252
NHS2-6CQJ,NHS2-0101,Love,Australia,iwai1244
NHS2-GJ4X,NHS2-0103,Lullaby,Australia,kabi1260
NHS2-7NEZ,NHS2-0105,Lullaby,Australia,lard1243
NHS2-HUX8,NHS2-0106,Praise,Australia,meri1244
NHS2-R2YS,NHS2-0108,Work,Australia,meri1244
NHS2-0TA2,NHS2-0109,Love,Australia,wala1272
NHS2-O4JO,NHS2-0110,Dance,Australia,bard1255
NHS2-G6Z0,NHS2-0111,Praise,Australia,pitj1243
NHS2-D455,NHS2-0112,Dance,Australia,pitj1243
NHS2-EIPU,NHS2-0114,Praise,Australia,pitj1243
NHS2-7TO4,NHS2-0117,Dance,Australia,wadj1254
NHS2-FBJU,NHS2-0123,Procession,Australia,warl1254
NHS2-QFKF,NHS2-0124,Story,Australia,worr1236
NHS2-BATN,NHS2-0125,Love,Australia,worr1236
NHS2-EOE6,NHS2-0126,Dance,Australia,worr1237
NHS2-A7EF,NHS2-0127,Mourning,Australia,wika1238
NHS2-E2BN,NHS2-0128,Dance,Australia,woro1258
NHS2-DJGN,NHS2-0129,Story,Australia,wuna1249
NHS2-5D0K,NHS2-0130,Story,Australia,wuna1249
NHS2-LY5K,NHS2-0137,Story,British Isles,ulst1241
NHS2-9AU4,NHS2-0138,Story,British Isles,ulst1241
NHS2-64UT,NHS2-0139,Work,British Isles,ulst1241
NHS2-ELN7,NHS2-0143,Dance,British Isles,scot1245
NHS2-719E,NHS2-0144,Love,British Isles,scot1245
NHS2-L24F,NHS2-0145,Lullaby,British Isles,scot1245
NHS2-TMH3,NHS2-0146,Praise,British Isles,scot1245
NHS2-YY9J,NHS2-0149,Love,British Isles,stan1293
NHS2-JEDY,NHS2-0150,Love,British Isles,stan1293
NHS2-PUMI,NHS2-0151,Lullaby,British Isles,scot1245
NHS2-JYMK,NHS2-0152,Mourning,British Isles,stan1293
NHS2-J3ZC,NHS2-0154,Play,British Isles,stan1293
NHS2-F1L8,NHS2-0155,Play,British Isles,stan1293
